Key,English,French
KEY_ACIDWORM_EGG_DESCRIPTION_TEMP,Hatches an Acidworm,Fait éclore un Ver caustique
KEY_ACIDWORM_EGG_NAME_TEMP,ACIDWORM EGG,ŒUF DE VER CAUSTIQUE
KEY_AC_DRILL_HOPLITE_DESCRIPTION_TEMP,Mutane-powered drill,Une foreuse qui fonctionne au mutane
KEY_AC_DRILL_HOPLITE_NAME_TEMP,DRILL,FOREUSE
KEY_AC_GUARDIANBEAM_CRYSTAL_DESCRIPTION_TEMP,A devastating Living Crystal powered beam,Un laser destructeur qui fonctionne au cristal vivant
KEY_AC_GUARDIANBEAM_CRYSTAL_NAME_TEMP,LIVING CRYSTAL BEAM,LASER DE CRISTAL VIVANT
KEY_AC_GUARDIANBEAM_DESCRIPTION_TEMP,A devastating beam weapon,Une arme laser dévastatrice
KEY_AC_GUARDIANBEAM_ORICHALCUM_DESCRIPTION_TEMP,A devastating Orichalcum powered beam,Un laser destructeur qui fonctionne à l'orichalque
KEY_AC_GUARDIANBEAM_ORICHALCUM_NAME_TEMP,ORICHALCUM BEAM,LASER EN ORICHALQUE
KEY_AC_GUARDIANBEAM_PROTEAN_DESCRIPTION_TEMP,A devastating Protean Mutane powered beam,Un laser destructeur qui fonctionne au mutane protéiforme
KEY_AC_GUARDIANBEAM_PROTEAN_NAME_TEMP,PROTEAN MUTANE BEAM,LASER DE MUTANE PROTÉIFORME
KEY_AC_GUARDIANBEAM_TEMP,GUARDIAN BEAM,LASER DE GARDIEN
KEY_AC_LEG_CRYSTAL_GUARDIAN_DESCRIPTION_TEMP,Limb made of Living Crystal,Une jambe en cristal vivant.
KEY_AC_LEG_CRYSTAL_GUARDIAN_NAME_TEMP,LIVING CRYSTAL LEG,JAMBE EN CRISTAL VIVANT
KEY_AC_LEG_HOPLITE_DESCRIPTION_TEMP,Hoplite Leg,Jambe Hoplite
KEY_AC_LEG_HOPLITE_NAME,GUARDIAN LEG,JAMBE DE GARDIEN
KEY_AC_LEG_HOPLITE_NAME_TEMP,GUARDIAN LEG,JAMBE DE GARDIEN
KEY_AC_LEG_ORICHALCUM_GUARDIAN_DESCRIPTION_TEMP,Limb made of Orichalcum,Une jambe en orichalque
KEY_AC_LEG_ORICHALCUM_GUARDIAN_NAME_TEMP,ORICHALCUM LEG,JAMBE EN ORICHALQUE
KEY_AC_LEG_PROTEAN_GUARDIAN_DESCRIPTION_TEMP,Limb powered by Protean Mutane Gas,Une jambe alimentée par du gaz mutane protéiforme
KEY_AC_LEG_PROTEAN_GUARDIAN_NAME_TEMP,PROTEAN MUTANE LEG,JAMBE DE MUTANE PROTÉIFORME
KEY_AC_ORICHALCUMSHIELD_DESCRIPTION_TEMP,A sharp-edged shield made of Living Crystal,Un bouclier tranchant en cristal vivant
KEY_AC_ORICHALCUMSHIELD_TEMP,LIVING CRYSTAL SHIELD,BOUCLIER DE CRISTAL VIVANT
KEY_AC_POWERDRILL_DESCRIPTION_TEMP,A drill powered by Protean Mutane turbine,Une foreuse alimentée par une turbine de mutane protéiforme
KEY_AC_POWERDRILL_TEMP,MUTANE-POWERED DRILL,FOREUSE AU MUTANE
KEY_AC_SHIELD_HOPLITE_DESCRIPTION_TEMP,Sharp-edged shields made of Orichalcum,Un bouclier tranchant en orichalque
KEY_AC_SHIELD_HOPLITE_NAME_TEMP,ORICHALCUM SHIELDS,BOUCLIERS EN ORICHALQUE
KEY_AC_TORSO_CRYSTAL_GUARDIAN_DESCRIPTION_TEMP,Ancient Guardian made of Living Crystal,Gardien ancien en cristal vivant
KEY_AC_TORSO_CRYSTAL_GUARDIAN_NAME_TEMP,LIVING CRYSTAL CYCLOPS,CYCLOPE EN CRISTAL VIVANT
KEY_AC_TORSO_DRILL_HOPLITE_DECRTIPTION_TEMP,Drill wielding ancient guardian,Gardien ancien qui utilise une foreuse
KEY_AC_TORSO_DRILL_HOPLITE_NAME_TEMP,DRILL HOPLITE,FOREUR HOPLITE
KEY_AC_TORSO_ORICHALCUM_GUARDIAN_DESCRIPTION_TEMP,Ancient Guardian made of Orichalcum,Gardien ancien en orichalque
KEY_AC_TORSO_ORICHALCUM_GUARDIAN_NAME_TEMP,ORICHALCYM CYCLOPS,CYCLOPE EN ORICHALQUE
KEY_AC_TORSO_PROTEAN_GUARDIAN_DESCRIPTION_TEMP,Ancient Guardian powered by Protean Mutane Gas,Gardien ancien alimenté par du gaz mutane protéiforme
KEY_AC_TORSO_PROTEAN_GUARDIAN_NAME_TEMP,PROTEAN MUTANE CYCLOPS,CYCLOPE DE MUTANE PROTÉIFORME
KEY_AC_TORSO_SHIELDS_HOPLITE_DESCRIPTION_TEMP,Armoured ancient guardian,Gardien ancien en armure
KEY_AC_TORSO_SHIELDS_HOPLITE_NAME_TEMP,SHIELD HOPLITE,BOUCLIER HOPLITE
KEY_ARTHRON_ACID_GRENADE_ARM_DESCRIPTION_TEMP,Launches projectiles causing acid damage,Lance des projectiles qui infligent des dégâts caustiques
KEY_ARTHRON_ACID_GRENADE_ARM_NAME_TEMP,ACID LAUNCHER,LANCEUR D'ACIDE
KEY_ARTHRON_ARM_DESCRIPTION_TEMP,Arthron arm,Bras d'Arthron
KEY_ARTHRON_ARM_GRENADE_NAME_TEMP,GRENADE LAUNCHER,LANCE-GRENADES
KEY_ARTHRON_ARM_NAME_TEMP,ARM,BRAS
KEY_ARTHRON_ARM_SHIELD_NAME_TEMP,SHIELD,BOUCLIER
