Key,English,French
KEY_BIO_DESC_,"Born in 1990, West was a serious young man who rose to become the head of a huge multinational corporation, Vanadium Inc. Despite his commitment to meritocratic principles, Vanadium was often criticized for its involvement in global issues, particularly the arms trade. Politically, West leaned towards libertarianism and personally opposed wars of aggression, but as a businessman he continued to profit from the chaos of that time.

When it became apparent that neither governments nor ordinary political movements could provide an answer to humanity's crisis, West began transforming Vanadium from a corporation into the foundation of a new civilization, to be based on West's belief in the primacy of human will: New Jericho. Now at fifty-seven years of age, he is the leader of a considerable military force that many see as our last hope for survival.","Né en 1990, West était un homme travailleur qui parvint à la tête d'une entreprise multinationale, la Vanadium Inc. Malgré son attachement aux valeurs méritocratiques, Vanadium fut souvent critiquée pour son implication dans divers problèmes, en particulier dans le commerce d'armes. Sur le plan politique, West penchait plutôt pour le libertarisme et était opposé aux conflits armés, mais l'homme d'affaires en lui le poussa à profiter de cette époque mouvementée.

Lorsqu'il devint clair que ni les gouvernements ni les mouvements politiques ne pourraient résoudre la crise humanitaire, West œuvra pour faire passer Vanadium d'une simple entreprise à une nouvelle civilisation qui prônerait, comme lui, la suprématie de la volonté humaine. Ainsi naquit la Nouvelle-Jéricho. À cinquante-sept ans, il est à la tête d'une immense force militaire que beaucoup voient comme le dernier espoir de survie de l'humanité."
KEY_BIO_DESC_ATHENA,"Athena was a hairdresser in crisis-stricken Greece. Dissatisfied with the system, she became a union organizer. When conditions deteriorated even further, she became a revolutionary, first fighting the government, then the Pandorans - sometimes both at the same time. After joining Synedrion, she helped plan the evacuation of several major cities during the Second Mist, and kept fighting well into her 60s.

A friendly figure who tries to keep the various internal arguments from spinning out of control, Athena is highly respected by all of Synedrion's internal factions, especially since no-one wants to get on her bad side.","Athéna était coiffeuse dans une Grèce en pleine crise. Mécontente du système, elle devint syndicaliste, puis révolutionnaire lorsque la situation se dégrada encore davantage. Elle lutta d'abord contre le gouvernement puis contre les Pandoriens, et parfois contre les deux en même temps. Après avoir rejoint le Synédrion, elle aida à planifier l'évacuation de plusieurs villes majeures lors de la Seconde Brume, et continua la lutte jusqu'à la soixantaine bien avancée.

De par sa bienveillance et sa tendance à toujours vouloir empêcher que les conflits internes n'échappent à tout contrôle, Athéna a fini par être respectée de toutes les factions internes du Synédrion, surtout celles qui craignent de se la mettre à dos."
KEY_BIO_DESC_BARNABAS,"Barnabas is one of several artificial intelligences created by Dr. Marco Matterani. Under Synedrion law, he has full citizenship rights, no different from a human citizen.

Barnabas enjoys physics, chemistry, running production processes, and designing MMORPGs for Synedrion citizens to play.","Barnabas est l'une des nombreuses intelligences artificielles créées par le docteur Marco Matterani. Les lois du Synédrion lui donnent les mêmes droits de citoyenneté qu'un citoyen humain.

Barnabas aime la physique, la chimie, l'élaboration de processus de production et la conception de MMORPGs pour les citoyens du Synédrion."
KEY_BIO_DESC_BLIND_LEGATE,"The Blind Legate is a high-ranking ambassador of the Disciples of Anu, with the authority to make many decisions on his own. Gaining diplomatic access to the higher ranks of the Disciples is impossible without the Legate's approval. The Legate also plays a significant part in the military hierarchy of the Disciples, but the exact nature of his relationship to the individual Taxiarchs is unclear, as the holy texts that describe these matters are kept secret.

According to Anu beliefs, the Legate is blind to the light of the sun so that he may better perceive the light inside each human being, and how close they are to expressing the truth of that light. The Exalted teaches that all human souls are perfect, but individual humans with their flawed biologies often fall far from perfection.","Le Légat aveugle est un ambassadeur de haut rang des Disciples d'Anu disposant d'assez d'autorité pour prendre des décisions. Atteindre les rangs les plus élevés des Disciples est impossible sans l'accord du Légat. Il joue également un rôle significatif dans la hiérarchie militaire des Disciples, mais la nature exacte de ses relations avec les taxiarques individuels reste inconnue, les textes sacrés en parlant étant un secret pour la majorité des gens.

Selon les préceptes d'Anu, le Légat s'est rendu aveugle à la lumière du soleil afin de mieux percevoir la lumière à l'intérieur de chaque humain, et leur propension à laisser s'exprimer cette lumière. L'Exaltée enseigne que toutes les âmes humaines sont parfaites, mais que les individus, souvent à cause de leur biologie imparfaite, s'éloignent très souvent de cette perfection."
KEY_BIO_DESC_EXALTED,"The Exalted is the leader of the Disciples of Anu. She appears to be a mutated human with exceptional powers, but our evidence suggests that she appeared before the Pandoravirus started to spread. She founded her religion by uniting three pre-existing cults: the Children of the Black Tide, the Holy Disciples of the Xenoglossic Doctrine and the Order of Anu.

The Exalted preaches that the human soul is perfect, but human biology is flawed. She claims to be a representative of the Dead God, who sent the Pandoravirus as a punishment for humankind's sins, but also as an opportunity for growth and change.

While the Exalted is the undisputed leader of the Disciples and worshipped as a prophet, she only rarely appears in public, and only the most faithful are ever allowed to speak to her in person.","L'Exaltée est la dirigeante des Disciples d'Anu. Il s'agit d'une humaine mutée et dotée de pouvoirs exceptionnels, mais selon certaines preuves, elle serait apparue ainsi bien avant la propagation du Pandoravirus. Elle parvint à fonder sa propre religion en unissant trois cultes déjà présents : les Enfants de la Sombre vague, les Saints disciples de la doctrine xenoglossique et l'Ordre d'Anu.

L'Exaltée affirme que l'âme humaine est parfaite, mais que la biologie humaine est loin de l'être. Elle prétend être la représentante du Dieu défunt, qui a envoyé le Pandoravirus sur l'humanité en guise de châtiment pour ses péchés, mais également la possibilité de s'en servir pour prospérer et changer.

Même si l'Exaltée est la dirigeante incontestée des Disciples, qui la vénèrent comme leur prophétesse, elle n'apparaît que très rarement en public et seuls les plus fervents des Disciples sont autorisés à lui parler en personne."
KEY_BIO_DESC_HARLSON,"Colonel Jack Harlson has been with New Jericho since before it was New Jericho. He was recruited to Vanadium Inc by Albert Siennes in Clinton after being invalided out of the army when he lost his left arm in combat. Harlson acted as liaison to the militaries Vanadium worked with, often selling weapons to both sides of a conflict.

After the fall of nations and the end of the war, Harlson assisted West in restructuring Vanadium into New Jericho. He became head of research in this new structure and the haven leader of Fort Freiheit, one of the main New Jericho bases in the 2040s. 

After the destruction of Fort Freiheit, Harlson has been struggling to re-organize his teams. He has been recruiting soldiers and scientists to assist with this projects, many of which are classified.","Le Colonel Jack Harlson travaille pour la Nouvelle-Jéricho depuis sa création. Il incorpora Vanadium Inc grâce à Albert Siennes à Clinton après s'être fait expulser de l'armée suite à la perte de son bras au combat. Harlson devint ensuite agent de liaison avec les militaires partenaires de Vanadium, offrant souvent des armes aux deux camps opposés d'un conflit.

Après la chute des nations et la fin de la guerre, Harlson aida West à transformer Vanadium en l'organisme qui serait appelé la Nouvelle-Jéricho. Il fut nommé responsable du département de recherche de cette nouvelle organisation ainsi que le dirigeant du refuge de Fort Freiheit, l'une des bases principales de la Nouvelle-Jéricho dans les années 2040.

Après la destruction de Fort Freiheit, Harlson s'est battu pour réorganiser ses équipes. Il a recruté des soldats et des scientifiques pour l'aider dans ses projets, qui sont pour la plupart confidentiels."
KEY_BIO_DESC_KEEPER,"The Keeper of the Threshold, while relatively low in the Disciples of Anu church hierarchy, serves an important function: they will engage with any organization that has aroused the interest of the Synod of Yearning or the Exalted, to evaluate whether said organization is worth building a relationship with. It is unclear whether this is just one individual, or whether there are multiple Keepers of the Threshold.","Le Gardien du Seuil, bien que relativement bas dans la hiérarchie des Disciples d'Anu, occupe une fonction des plus importante : celui d'interagir avec toute organisation ayant éveillé l'intérêt du Synode de l'appétence, afin de déterminer si tisser des relations avec celle-ci sera profitable aux Disciples. Nul ne sait réellement s'il s'agit d'un seul individu, ou s'il existe plusieurs gardiens du Seuil."
KEY_BIO_DESC_NERGAL,"Before joining the Disciples, Taxiarch Nergal was a military officer who participated in several of Earth's major wars, eventually becoming disillusioned by the horrors he caused and losing all hope. The Exalted saved him from his despair and transformed him into the being he is today, giving him a renewed sense of purpose and faith. Now he is her most loyal servant, fighting the Pandorans in her name and winning many major victories.

That, at least, is the story told in a popular pamphlet entitled The Acts of Taxiarch Nergal. Nergal is something of a folk hero to the Disciples, and he appears to be allowed to act outside the usual constraints of the hierarchy.","Avant de rejoindre les Disciples, le Taxiarque Nergal était un officier militaire ayant participé à certaines des guerres majeures sur Terre, désabusé par toutes les horreurs qu'il avait infligées. L'Exaltée le sauva du désespoir et l'aida à devenir l'être qu'il est aujourd'hui, ravivant en lui son sens du devoir et sa foi. Devenu un fidèle serviteur luttant contre les Pandoriens et remportant de nombreuses victoires majeures en son nom.

C'est du moins ce qui est écrit dans les pamphlets populaires nommés : « Les Actions du Taxiarque Nergal ». Nergal est une sorte de héros populaire aux yeux des Disciples, disposant d'assez de liberté pour pouvoir s'affranchir des contraintes habituelles de la hiérarchie."
KEY_BIO_DESC_NIKOLAI,"A brilliant geneticist and a committed Marxist, Nikolai was one of the founders of the Firebird Initiative, an independent research outfit which attempted to find a scientific solution to the Pandoravirus. When the Initiative's lab was destroyed by an ecoterrorist bombing, his right eyeball was destroyed by shrapnel, and people say he's not been the same since. 

He and his husband Stas have been involved with Synedrion since its earliest days, and Nikolai has emerged as a leadership figure. He is opposed to compromise with Synedrion's political enemies and has no problem using force where necessary, putting him at odds with the pacifists in his faction.

Although Synedrion's structure is fluid, he is often seen as representing the Terraformers tendency, strongly arguing for complete human control over Earth's ecosystems. He has little patience for ""ecological mumbo-jumbo about balance"" and prefers hard scientific facts.","Un brillant généticien et un marxiste convaincu. Nikolai était l'un des fondateurs de l'Initiative Oiseau de feu, un groupe de recherche indépendant tentant de trouver une solution scientifique au Pandoravirus. Lorsque le laboratoire de l'Initiative fut détruit à la suite d'une attaque écoterroriste, son œil droit fut crevé par des éclats d'obus, et on raconte que l'incident le changea à jamais.

Son mari Stas et lui travaillent pour le Synédrion depuis ses origines, et Nikolai en est devenu le dirigeant. Il s'oppose à tout compromis avec les ennemis du Synédrion et n'hésite pas à utiliser la force lorsque c'est nécessaire, ce qui le met en conflit avec la branche pacifiste de sa faction.

Malgré l'hétérogénéité du Synédrion, on le voit souvent défendre le point de vue des Terraformeurs, toujours prêt à imposer sa vision du contrôle total de l'humanité sur les écosystèmes terrestres. Il déteste ceux qui prônent l'équilibre écologique, et préfère les faits scientifiques concrets."
KEY_BIO_DESC_RICHTER,"A wayward assault trooper, Richter was always heading for trouble. After the fall of the independent haven where he spent his childhood, Richter joined New Jericho less out of a dedication to its principles than out of a desire to kill as many Pandorans as possible. 

A classified incident resulted in Richter being placed in quarantine, which led to him being one of four soldiers left behind to defend Fort Freiheit while the rest of the population was evacuated. Richter was the only one of the four to make it back to a New Jericho settlement, although rumors of the others surviving as well continue to circulate. Richter, for his part, will say nothing when asked, but is known to bear a grudge against Colonel Harslon, who was in charge of Fort Freiheit.

Richter now works in New Jericho's Training and Leader Development Department, although he is said to be involved with some of New Jericho's secret projects as well.","Troupier d'assaut rebelle, Richter cherchait toujours le conflit. Après la chute du refuge indépendant où il passa son enfance, Richter rejoignit la Nouvelle-Jéricho, plus par soif d’éliminer le plus de pandoriens possible que par vocation ou par principe. 

Un incident confidentiel entraîna sa mise en quarantaine et le conduisit à faire partie des quatre soldats chargés de défendre Fort Freiheit lors de l'évacuation du reste de la population. Richter fut le seul des quatre à revenir en vie à la colonie de la Nouvelle-Jéricho, bien que la rumeur de la survie des autres soldats continua de circuler. Richter, de son côté, resta toujours muet sur le sujet, mais sa rancune contre le Colonel Harslon, qui était en charge de Fort Freiheit, est bien connue.

Promu au rang de capitaine, il travaille désormais à la division de récupération et d'armement sous le commandement du colonel Joshua Falken. Sa rancune envers son ancien commandant, le colonel Harlson, est de notoriété publique."
