Key,English,French
KEY_ACIDWORM_DESCRIPTION,Acidworm,Ver caustique
KEY_ACIDWORM_EGG_DESC,Gives birth to an Acidworm when triggered,Donne naissance à un Ver caustique une fois activé
KEY_ACIDWORM_EGG_NAME,ACIDWORM EGG,ŒUF DE VER CAUSTIQUE
KEY_ACIDWORM_NAME,ACIDWORM,VER CAUSTIQUE
KEY_AIRCRAFT_ANU_LONG,"Part machine, part organic, the Disciples of Anu dirigible was based on a pre-plague airship. Engineered to be spacious and durable in battle, the airship is capable of sustaining considerable damage, at the expense of speed.","Moitié mécanique, moitié organique, le dirigeable des Disciples d'Anu s'inspire d'un vaisseau précédent l'épidémie. Conçu pour être spacieux et durable en combat, ce véhicule peut subir des dégâts considérables, au détriment de sa vitesse."
KEY_AIRCRAFT_NJ_LONG,"A third-generation quad-rotor VTOL transporter, engineered by New Jericho, designed specifically for the current battlefield and atmospheric conditions. The entire exterior is covered with reinforced external armor and coated with anti-corrosive material, providing full protection to everything inside.","Un transporteur troisième génération à quatre rotors, construit par la Nouvelle-Jéricho, conçu spécifiquement pour le champ de bataille et les conditions atmosphériques actuelles. Recouvert d'une armure externe renforcée et de matériaux anti-corrosion, il offre une bonne protection."
KEY_AIRCRAFT_PP_LONG,"Created by NASA engineers using bleeding edge technology, the Phoenix Manticore is the pinnacle of modern aeronautics. Propelled by twin non-afterburning fanjet engines and covered in a titanium alloy plating, the aircraft is possibly the only kind of transport capable of surviving in the open.","Créée par les ingénieurs de la NASA à l'aide de la dernière technologie, la Manticore de Phoenix est l'apogée de l'aéronautique moderne. Propulsée par son double statoréacteur sans post-combustion et recouvert d'un blindage en alliage de titane, ce vaisseau est probablement le seul type de transport pouvant survivre à découvert."
KEY_AIRCRAFT_SYN_LONG,"A fourth generation hovercraft, modified by Synedrion to reach high altitudes powered solely on fusion cell technology. Covered in a light-reflective heat-absorbing material, the vehicle is capable of extreme aerial maneuverability and high speed.","Un aéroglisseur de quatrième génération, modifié par le Synédrion pour atteindre de hautes altitudes, propulsé par la technologie des cellules à fusion. Recouvert d'un matériau qui absorbe la chaleur et reflète la lumière, ce véhicule offre une manœuvrabilité aérienne extrême et une grande vitesse."
KEY_ALIEN_SWARMER_DESCRIPTION,Swarmer,Frelard
KEY_ALIEN_SWARMER_NAME,SWARMER,FRELARD
KEY_ALN_CHIRON_DESCRIPTION,Chiron,Chiron
KEY_ALN_CHIRON_NAME,CHIRON,CHIRON
KEY_ALN_CRABMAN_DESCRIPTION,Arthron,Arthron
KEY_ALN_CRABMAN_NAME,ARTHRON,ARTHRON
KEY_ALN_FISHMAN_DESCRIPTION,Triton,Triton
KEY_ALN_FISHMAN_NAME,TRITON,TRITON
KEY_ALN_MINDFRAGGER_DESCRIPTION,Mindfragger,Corrupteur
KEY_ALN_MINDFRAGGER_NAME,MINDFRAGGER,CORRUPTEUR
KEY_ALN_QUEEN_DESCRIPTION,Scylla,Scylla
KEY_ALN_QUEEN_NAME,SCYLLA,SCYLLA
KEY_ALN_SENTINEL_HATCHING_DESCRIPTION,Hatching Sentinel,Sentinelle couveuse
KEY_ALN_SENTINEL_HATCHING_NAME,HATCHING SENTINEL,SENTINELLE COUVEUSE
KEY_ALN_SENTINEL_MIST_DESCRIPTION,Mist Sentinel,Sentinelle de brume
KEY_ALN_SENTINEL_MIST_NAME,MIST SENTINEL,SENTINELLE DE BRUME
KEY_ALN_SENTINEL_TERROR_DESCRIPTION,Terror Sentinel,Sentinelle de l'effroi
KEY_ALN_SENTINEL_TERROR_NAME,TERROR SENTINEL,SENTINELLE DE L'EFFROI
KEY_ALN_SIREN_DESCRIPTION,Siren,Sirène
KEY_ALN_SIREN_NAME,SIREN,SIRÈNE
KEY_ALN_SPAWNING_POOL_DESCRIPTION,Spawnery,Écloserie
KEY_ALN_SPAWNING_POOL_NAME,SPAWNERY,ÉCLOSERIE
KEY_ALN_YUGGOTHIAN_RECEPTACLE,YUGGOTHIAN RECEPTACLE,RÉCEPTACLE YUGGOTHIEN
KEY_ALN_YUGGOTHIAN_RECEPTACLE_DESCRIPTION,Yuggothian Receptacle,Réceptacle yuggothien
KEY_ARMADILLO_DESCRIPTION,New Jericho Armadillo Ground Vehicle,Véhicule terrestre Priodonte de la Nouvelle-Jéricho
KEY_ARMADILLO_NAME,ARMADILLO,PRIODONTE
KEY_ASPIDA_DESCRIPTION,Synedrion Ground Support Vehicle,Véhicule de soutien terrestre du Synédrion
KEY_ASPIDA_NAME,ASPIDA,ASPIDA
KEY_ASSAULT_DESCRIPTION,An all-round soldier who represents the core of every army. Specialized in speed and tactical warfare.,Un soldat polyvalent qui constitue le cœur de chaque armée. Doté d'une excellente vitesse et expertise en combat tactique.
KEY_BERSERKER_DESCRIPTION,The result of selective gene manipulation and merciless Anu training. Specialized in aggression and melee combat.,Le résultat d'une manipulation génétique sélective et d'un entraînement sans pitié mis au point par Anu. Emploie des techniques agressives et pratique le corps à corps.
KEY_CIVILIAN_DESCRIPTION,Civilian,Civil
