Key,English,French
KEY_ANU_ENDING1_01,"In the end, it wasn't her powers or her followers that allowed us to win. ","Au final, ce ne fut pas ses pouvoirs ni ses adeptes qui nous permirent de gagner."
KEY_ANU_ENDING1_02,"It was her humanity. An alien god spoke to her in her mind, ","Mais son humanité. Une déesse extraterrestre lui parla dans son esprit,"
KEY_ANU_ENDING1_03,and instead of being dominated or obliterated... she tricked him.,et au lieu de se faire dominer ou oblitérer... elle la dupa.
KEY_ANU_ENDING2_01,"By the time he realized what she was doing, it was too late. ","Quand elle réalisa ce qu'elle faisait, il était trop tard."
KEY_ANU_ENDING2_02,"She'd stolen his knowledge, cut him off from his armies on Earth. ",Elle lui avait volé ses connaissances et avait coupé ses liens avec ses armées sur Terre.
KEY_ANU_ENDING2_03,"He was alone on his dark planet, and humanity was saved.","Elle était seule sur sa planète sombre, et l'humanité était sauvée."
KEY_ANU_ENDING3_01,"The war wasn't over, of course. It's never that simple. ","La guerre n'était pas terminée, bien entendu. Ce n'est jamais si simple."
KEY_ANU_ENDING3_02,"There were still those who wanted to go back to how things were before. ",Il restait encore ceux qui voulaient revenir au monde d'avant.
KEY_ANU_ENDING3_03,To make the same mistakes again. But the Exalted would not allow it.,Pour refaire les mêmes erreurs. Mais l'Exaltée ne le permettrait pas.
KEY_ANU_ENDING4_01,"New Jericho fought to the end. She respected that. ",La Nouvelle-Jéricho se battit jusqu'à la fin. Elle respecta cet effort.
KEY_ANU_ENDING4_02,"Tobias West and his people believed in their principles... and died for them. ",Tobias West et son peuple croyaient en leurs principes... et moururent pour eux.
KEY_ANU_ENDING4_03,With them died the last fragment of the old world.,Avec eux s'éteignit le dernier fragment de l'ancien monde.
KEY_ANU_ENDING5_01,"Synedrion continued to exist. This was not the future they had dreamed of, ","Le Synédrion continua d'exister. Ce n'était pas l'avenir dont ses adeptes avaient rêvé,"
KEY_ANU_ENDING5_02,"but somewhere in this changing world there was space for their ideas. ","mais quelque part dans ce monde en évolution, il y avait de la place pour leurs idées."
KEY_ANU_ENDING5_03,"They would contribute what they could, and hope that conflict could be avoided. ",Ils y apporteraient ce qu'ils pourraient et espèreraient pouvoir éviter un conflit.
