Key,English,French
KEY_CONTROLS_ACTION_ABILITY_CONFIRM,ACTIVATE ABILITY,ACTIVER CAPACITÉ
KEY_CONTROLS_ACTION_ABILITY_END_TURN,ENTER STANDBY MODE,PASSER EN MODE STAND-BY
KEY_CONTROLS_ACTION_ABILITY_ENTER_INVENTORY,OPEN INVENTORY,OUVRIR L'INVENTAIRE
KEY_CONTROLS_ACTION_ABILITY_OVERWATCH,ENTER OVERWATCH,ENTRER EN MODE VIGILANCE
KEY_CONTROLS_ACTION_ABILITY_RELOAD,RELOAD,RECHARGER
KEY_CONTROLS_ACTION_ASCEND_LEVEL,FLOOR LEVEL FOCUS UP,PLAN ÉTAGE SUPÉRIEUR
KEY_CONTROLS_ACTION_CHANGE_OVERWATCH_CONE,CHANGE OVERWATCH CONE SIZE,CHANGER LA TAILLE DE LA ZONE DE VIGILANCE
KEY_CONTROLS_ACTION_CONFIRM,CONFIRM ACTION,CONFIRMER ACTION
KEY_CONTROLS_ACTION_CYCLE_WEAPONS,NEXT READY ITEM,OBJET PRÊT SUIVANT
KEY_CONTROLS_ACTION_DESCEND_LEVEL,FLOOR LEVEL FOCUS DOWN,PLAN ÉTAGE INFÉRIEUR
KEY_CONTROLS_ACTION_DISCRETE_ZOOM_IN,ZOOM IN,AGRANDIR
KEY_CONTROLS_ACTION_DISCRETE_ZOOM_OUT,ZOOM OUT,RÉDUIRE
KEY_CONTROLS_ACTION_END_TURN,END TURN,TERMINER TOUR
KEY_CONTROLS_ACTION_FREE_AIM,ENTER FREE AIM,PASSER EN VISÉE LIBRE
KEY_CONTROLS_ACTION_GEOSCAPE_PAUSE,START / STOP GEOSCAPE TIME,DÉMARRER/ARRÊTER LE TEMPS DU GEOSCAPE
KEY_CONTROLS_ACTION_GEOSCAPE_SHOW_LOG,SHOW LOG,AFFICHER JOURNAL
KEY_CONTROLS_ACTION_GEOSCAPE_TIME_DECREMENT,DECREASE GEOSCAPE TIME SPEED,RALENTIR LE TEMPS DU GEOSCAPE
KEY_CONTROLS_ACTION_GEOSCAPE_TIME_INCREMENT,INCREASE GEOSCAPE TIME SPEED,ACCÉLÉRER LE TEMPS DU GEOSCAPE
KEY_CONTROLS_ACTION_HIDE_UI,HIDE UI,MASQUER INTERFACE
KEY_CONTROLS_ACTION_INPUT_NEXT_ABILITY,{[NextAbility]},
KEY_CONTROLS_ACTION_INPUT_PREV_ABILITY,{[PrevAbility]},
KEY_CONTROLS_ACTION_MENU_DOWN,UI ELEMENT UP,ÉLÉMENT IU BAS
KEY_CONTROLS_ACTION_MENU_LEFT,UI ELEMENT LEFT,ÉLÉMENT IU GAUCHE
KEY_CONTROLS_ACTION_MENU_RIGHT,UI ELEMENT RIGHT,ÉLÉMENT IU DROIT
KEY_CONTROLS_ACTION_MENU_UP,UI ELEMENT DOWN,ÉLÉMENT IU HAUT
KEY_CONTROLS_ACTION_MOVE_CAMERA_DOWN,MOVE CAMERA DOWN,DÉPLACER CAMÉRA VERS LE BAS
KEY_CONTROLS_ACTION_MOVE_CAMERA_LEFT,MOVE CAMERA LEFT,DÉPLACER CAMÉRA VERS LA GAUCHE
KEY_CONTROLS_ACTION_MOVE_CAMERA_RIGHT,MOVE CAMERA RIGHT,DÉPLACER CAMÉRA VERS LA DROITE
KEY_CONTROLS_ACTION_MOVE_CAMERA_UP,MOVE CAMERA UP,DÉPLACER CAMÉRA VERS LE HAUT
KEY_CONTROLS_ACTION_NEXT_ABILITY,SELECT NEXT ABILITY,SÉLECTIONNER CAPACITÉ SUIVANTE
KEY_CONTROLS_ACTION_NEXT_CHARACTER,NEXT SOLDIER /VEHICLE / TARGET,SOLDAT/VÉHICULE/CIBLE SUIVANT(E)
KEY_CONTROLS_ACTION_OPEN_OPTIONS_MENU,SHOW GAME MENU,AFFICHER MENU DU JEU
KEY_CONTROLS_ACTION_PREV_ABILITY,SELECT PREVIOUS ABILITY,SÉLECTIONNER CAPACITÉ PRÉCÉDENTE
KEY_CONTROLS_ACTION_PREV_CHARACTER,PREVIOUS SOLDIER / VEHICLE / TARGET,SOLDAT/VÉHICULE/CIBLE SUIVANT(E)
KEY_CONTROLS_ACTION_QUICK_LOAD,QUICK LOAD,CHARGEMENT RAPIDE
KEY_CONTROLS_ACTION_QUICK_SAVE,QUICK SAVE,SAUVEGARDE RAPIDE
KEY_CONTROLS_ACTION_ROTATE_CAMERA_LEFT,ROTATE CAMERA COUNTERCLOCKWISE,PIVOTER CAMÉRA VERS LA GAUCHE
KEY_CONTROLS_ACTION_ROTATE_CAMERA_RIGHT,ROTATE CAMERA CLOCKWISE,PIVOTER CAMÉRA VERS LA DROITE
KEY_CONTROLS_ACTION_SELECT_ITEM_1,SELECT READY ITEM 1,SÉLECTIONNER OBJET PRÊT 1
KEY_CONTROLS_ACTION_SELECT_ITEM_2,SELECT READY ITEM 2,SÉLECTIONNER OBJET PRÊT 2
KEY_CONTROLS_ACTION_SELECT_ITEM_3,SELECT READY ITEM 3,SÉLECTIONNER OBJET PRÊT 3
KEY_CONTROLS_ACTION_SELECT_ITEM_4,SELECT READY ITEM 4,SÉLECTIONNER OBJET PRÊT 4
KEY_CONTROLS_ACTION_SHOOT,ENTER SHOOT MODE / SHOOT,ENTRER EN MODE TIR/TIRER
KEY_CONTROLS_ACTION_SHOW_ITEM_LABELS,SHOW ITEM LABELS,AFFICHER NOMS DES OBJETS
KEY_CONTROLS_BINDINGS_COMMON,COMMON BINDINGS,CONFIGURATION COURANTE
KEY_CONTROLS_BINDINGS_GEOSCAPE,GEOSCAPE BINDINGS,CONFIGURATION GEOSCAPE
KEY_CONTROLS_BINDINGS_OVERRIDE_ALLOWED,OVERRIDE,REMPLACER
KEY_CONTROLS_BINDINGS_OVERRIDE_FORBIDDEN,CAN NOT OVERRIDE,REMPLACEMENT IMPOSSIBLE
KEY_CONTROLS_BINDINGS_PRIMARY_KEY,PRIMARY KEY,TOUCHE PRINCIPALE
KEY_CONTROLS_BINDINGS_REVERT_TO_DEFAULT,RESET TO DEFAULTS,RÉINITIALISER
KEY_CONTROLS_BINDINGS_SECONDARY_KEY,SECONDARY KEY,TOUCHE SECONDAIRE
KEY_CONTROLS_BINDINGS_TACTICAL,TACTICAL BINDINGS,CONFIGURATION TACTIQUE
KEY_CONTROLS_ERROR_READ,Reading keybindings failed! Default keybindings have been selected.,Échec de la lecture de configuration des touches ! Configuration par défaut sélectionnée.
KEY_CONTROLS_ERROR_WRITE,Saving keybindings failed! Default keybindings have been selected.,Échec de la sauvegarde de la configuration des touches ! Configuration par défaut sélectionnée.
KEY_CONTROLS_GEOSCAPE_A,"SELECT
ACCEPT","SÉLECTIONNER
ACCEPTER"
KEY_CONTROLS_GEOSCAPE_B,"BACK
CANCEL","RETOUR
ANNULER"
KEY_CONTROLS_GEOSCAPE_BACK,OPEN GAME MENU,OUVRIR LE MENU DU JEU
KEY_CONTROLS_GEOSCAPE_DPAD_DOWN,AIRCRAFT SECTION,SECTION VAISSEAU
KEY_CONTROLS_GEOSCAPE_DPAD_LEFT,OBJECTIVES SECTION,SECTION OBJECTIFS
KEY_CONTROLS_GEOSCAPE_DPAD_RIGHT,TIMER SECTION,SECTION TEMPS
KEY_CONTROLS_GEOSCAPE_DPAD_UP,RESOURCES SECTION,SECTION RESSOURCES
KEY_CONTROLS_GEOSCAPE_LB,"PREVIOUS UNIT/
FILTER TO THE LEFT","UNITÉ PRÉCÉDENTE/
 FILTRER VERS LA GAUCHE"
KEY_CONTROLS_GEOSCAPE_LT,MAIN TAB LEFT,ONGLET PRINCIPAL - GAUCHE
KEY_CONTROLS_GEOSCAPE_LTHUMB,MOVE GLOBE,DÉPLACER LE GLOBE
KEY_CONTROLS_GEOSCAPE_LTHUMB_PRESS,FOCUS ON ACTIVE AIRCRAFT,ATTENTION SUR VAISSEAU ACTIF
KEY_CONTROLS_GEOSCAPE_PC_ARROW_DOWN_DESCRIPTION,MOVE GLOBE  DOWN,DÉPLACER LE GLOBE VERS LE BAS
KEY_CONTROLS_GEOSCAPE_PC_ARROW_DOWN_NAME,DOWN ARROW,FLÈCHE BAS
KEY_CONTROLS_GEOSCAPE_PC_ARROW_LEFT_DESCRIPTION,MOVE GLOBE  LEFT,DÉPLACER LE GLOBE VERS LA GAUCHE
KEY_CONTROLS_GEOSCAPE_PC_ARROW_LEFT_NAME,LEFT ARROW,FLÈCHE GAUCHE
KEY_CONTROLS_GEOSCAPE_PC_ARROW_RIGHT_DESCRIPTION,MOVE GLOBE RIGHT,DÉPLACER LE GLOBE VERS LA DROITE
KEY_CONTROLS_GEOSCAPE_PC_ARROW_RIGHT_NAME,RIGHT ARROW,FLÈCHE DROITE
KEY_CONTROLS_GEOSCAPE_PC_ARROW_UP_DESCRIPTION,MOVE GLOBE UP,DÉPLACER LE GLOBE VERS LE HAUT
KEY_CONTROLS_GEOSCAPE_PC_ARROW_UP_NAME,UP ARROW,FLÈCHE HAUT
KEY_CONTROLS_GEOSCAPE_PC_A_DESCRIPTION,MOVE GLOBE  LEFT,DÉPLACER LE GLOBE VERS LA GAUCHE
KEY_CONTROLS_GEOSCAPE_PC_A_NAME,A,Q
KEY_CONTROLS_GEOSCAPE_PC_D_DESCRIPTION,MOVE GLOBE RIGHT,DÉPLACER LE GLOBE VERS LA DROITE
KEY_CONTROLS_GEOSCAPE_PC_D_NAME,D,D
KEY_CONTROLS_GEOSCAPE_PC_ESC_DESCRIPTION,CANCEL / OPEN GAME MENU,ANNULER/OUVRIR LE MENU DU JEU
KEY_CONTROLS_GEOSCAPE_PC_ESC_NAME,ESC,ÉCHAP.
KEY_CONTROLS_GEOSCAPE_PC_MINUS_DESCRIPTION,DECREASE GEOSCAPE TIME SPEED,RALENTIR LE TEMPS DU GEOSCAPE
KEY_CONTROLS_GEOSCAPE_PC_MINUS_NAME,—,
KEY_CONTROLS_GEOSCAPE_PC_PLUS_DESCRIPTION,INCREASE GEOSCAPE TIME SPEED,ACCÉLÉRER LE TEMPS DU GEOSCAPE
KEY_CONTROLS_GEOSCAPE_PC_PLUS_NAME,+,+
KEY_CONTROLS_GEOSCAPE_PC_SPC_DESCRIPTION,START / STOP GEOSCAPE TIME,DÉMARRER/ARRÊTER LE TEMPS DU GEOSCAPE
KEY_CONTROLS_GEOSCAPE_PC_SPC_NAME,SPACEBAR,BARRE D'ESPACE
KEY_CONTROLS_GEOSCAPE_PC_S_DESCRIPTION,MOVE GLOBE  DOWN,DÉPLACER LE GLOBE VERS LE BAS
KEY_CONTROLS_GEOSCAPE_PC_S_NAME,S,S
KEY_CONTROLS_GEOSCAPE_PC_TAB_DESCRIPTION,NEXT AIRCRAFT,VAISSEAU SUIVANT
KEY_CONTROLS_GEOSCAPE_PC_TAB_NAME,TAB,TAB
KEY_CONTROLS_GEOSCAPE_PC_W_DESCRIPTION,MOVE GLOBE UP,DÉPLACER LE GLOBE VERS LE HAUT
KEY_CONTROLS_GEOSCAPE_PC_W_NAME,W,Z
KEY_CONTROLS_GEOSCAPE_RB,"NEXT UNIT/
FILTER TO THE RIGHT","UNITÉ SUIVANTE/
 FILTRER VERS LA DROITE"
KEY_CONTROLS_GEOSCAPE_RT,MAIN TAB RIGHT,ONGLET PRINCIPAL - DROITE
KEY_CONTROLS_GEOSCAPE_RTHUMB_DOWN,ZOOM OUT,RÉDUIRE
KEY_CONTROLS_GEOSCAPE_RTHUMB_LEFT,SELECT SECTIONS TO THE LEFT,SÉLECTIONNER SECTIONS À GAUCHE
KEY_CONTROLS_GEOSCAPE_RTHUMB_PRESS,OPEN AIRCRAFT MENU,OUVRIR MENU DU VAISSEAU
KEY_CONTROLS_GEOSCAPE_RTHUMB_RIGHT,SELECT SECTIONS TO THE RIGHT,SÉLECTIONNER SECTIONS À DROITE
KEY_CONTROLS_GEOSCAPE_RTHUMB_UP,ZOOM IN,AGRANDIR
KEY_CONTROLS_GEOSCAPE_SCHEME,GEOSCAPE SCHEME,CONFIGURATION DU GEOSCAPE
KEY_CONTROLS_GEOSCAPE_START,SHOW LOG,AFFICHER JOURNAL
KEY_CONTROLS_GEOSCAPE_X,"START TIME
STOP TIME","DÉMARRER LE TEMPS
ARRÊTER LE TEMPS"
KEY_CONTROLS_GEOSCAPE_Y,OPEN BASES MENU,OUVRIR MENU DES BASES
KEY_CONTROLS_INPUT_PC_0,0,0
KEY_CONTROLS_INPUT_PC_1,1,1
KEY_CONTROLS_INPUT_PC_2,2,2
KEY_CONTROLS_INPUT_PC_3,3,3
KEY_CONTROLS_INPUT_PC_4,4,4
KEY_CONTROLS_INPUT_PC_5,5,5
KEY_CONTROLS_INPUT_PC_6,6,6
