Key,English,French
KEY_ACTIVATION_COST,ACTIVATION COST,COÛT D'ACTIVATION
KEY_ALIEN_BASE_DISCOVERED,PANDORAN COLONY DETECTED,COLONIE PANDORIENNE DÉTECTÉE
KEY_AN_ASSAULT_NAME,DISCIPLES OF ANU ASSAULT,UNITÉ D'ASSAUT - DISCIPLES D'ANU
KEY_AN_BERSERKER_NAME,DISCIPLES OF ANU BERSERKER,BERSERKER - DISCIPLES D'ANU
KEY_AN_PRIEST_NAME,DISCIPLES OF ANU PRIEST,PRÊTRE - DISCIPLES D'ANU
KEY_AREA_SCAN_LOADING,AREA SCAN,BALAYAGE DE ZONE
KEY_ASSAULT_FILTER_TT,Assault class filter,Filtre de classe unité d'assaut
KEY_AVAILABLE_SLOTS,Available Slots,Emplacements disponibles
KEY_BAN_ASSAULT_NAME,BANDIT ASSAULT,UNITÉ D'ASSAUT - BANDITS
KEY_BAN_HEAVY_NAME,BANDIT HEAVY,MASTODONTE - BANDITS
KEY_BAN_SNIPER_NAME,BANDIT SNIPER,TIREUR D'ÉLITE - BANDITS
KEY_BASE_PANDORAN_BASE_REVEALED_DESCRIPTION,Analysis of the Pandorans' behavior has revealed the location of their colony. A new {0} site is visible in the geoscape view and may now be targeted for attack.,L'analyse du comportement des Pandoriens a révélé l'emplacement de leur colonie. Un nouveau site de {0} est désormais visible sur le Geoscape et peut être ciblé pour une attaque.
KEY_BASE_PANDORAN_BASE_REVEALED_FAILED_DESCRIPTION,"Analysis of the Pandoran’s movement patterns have failed to identify their origin. The exact location of the Pandoran Colony responsible for the attack remains unknown. If a colony attacks from within Phoenix Base scanning range, it would be detected immediately.","L'analyse des modèles de déplacement du Pandorien n'a pas réussi à identifier son origine. L'emplacement exact de la colonie responsable de l'attaque reste inconnu. Si une colonie attaque dans le rayon de balayage d'une base Phoenix, elles sera immédiatement détectée."
KEY_BASE_PANDORAN_BASE_REVEALED_NAME,PANDORAN ATTACK ANALYSIS,ANALYSE D'ATTAQUE DE PANDORIEN
KEY_BASE_PROMPT_HARVEST_ALIEN_FOR_FOOD,Kill the Pandoran {0} for {1} food?,Éliminer l'ennemi pandorien {0} pour {1} aliment(s) ?
KEY_BASE_PROMPT_HARVEST_ALIEN_FOR_FOOD_RESULT,{0} has been killed for {1} food,L'ennemi {0} a été éliminé pour {1} aliment(s)
KEY_BASE_PROMPT_HARVEST_ALIEN_FOR_MUTAGENS,Kill the Pandoran {0} for {1} mutagens?,Éliminer l'ennemi pandorien {0} pour {1} mutagènes ?
KEY_BASE_PROMPT_HARVEST_ALIEN_FOR_MUTAGENS_RESULT,{0} has been killed for {1} mutagens,L'ennemi {0} a été éliminé pour {1} mutagènes
KEY_BASE_PROMPT_KILL_CAPTURED_ALIEN,Are you sure you want to kill the Pandoran {0}?,Voulez-vous vraiment éliminer l'ennemi pandorien {0} ?
KEY_BASE_PROMPT_KILL_CAPTURED_ALIEN_RESULT,{0} has been killed.,L'ennemi {0} a été éliminé.
KEY_BASE_RECRUITS_AVAILABLE_1DAY,RECRUITS AVAILABLE IN 1 DAY,RECRUES DISPONIBLES DANS 1 JOUR
KEY_BERSERKER_FILTER_TT,Berserker class filter,Filtre de classe berserker
KEY_CHARACTERNAME_CHIRONASTERIA,CHIRON ASTERIA,CHIRON ASTERIA
KEY_CHARACTERNAME_SIRENPRAETORIAN,SIREN PRAETORIAN,SIRÈNE PRAÉTORIENNE
KEY_CLOSE_INTELLIGENCE_REPORT,CLOSE INTELLIGENCE REPORT,RAPPORT SUR LA SITUATION À PROXIMITÉ
KEY_CONSTRUCTED_FACILITIES,Constructed facilities,Installations construites
KEY_FACILITY_LIMIT_WARNING,Cannot construct more than {0} {1} per base,Impossible de construire plus de {0} {1} par base
KEY_FK_ASSAULT_NAME,FORSAKEN ASSAULT,UNITÉ D'ASSAUT - REJETÉS
KEY_FK_BERSERKER_NAME,FORSAKEN BERSERKER,BERSERKER - REJETÉS
KEY_FK_PRIEST_NAME,FORSAKEN PRIEST,PRÊTRE - REJETÉS
KEY_GEOSCAPE_BASE_BUILDING_SLOTS,Free facility slots: {0},Emplacements d'installations libres : {0}
KEY_GEOSCAPE_BASE_FACILITIES_BUILT,Facilities built,Installations construites
KEY_GEOSCAPE_BASE_INFESTATION_THREAT_HIGH,HIGH,ÉLEVÉE
KEY_GEOSCAPE_BASE_INFESTATION_THREAT_LOW,LOW,FAIBLE
KEY_GEOSCAPE_BASE_INFESTATION_THREAT_MEDIUM,MEDIUM,MOYENNE
KEY_GEOSCAPE_BASE_INFESTED,BASE INFESTED,BASE INFESTÉE
KEY_GEOSCAPE_MESSAGE_HAVEN_ZONE_ATTRITION,Zone {0} in haven {2} ({1}) has fallen into disrepair,La zone {0} du havre {2} ({1}) est tombée en ruine
KEY_GEOSCAPE_SCAN_AREA_COL,Scan Range:,Rayon de balayage :
KEY_HEAVY_FILTER_TT,Heavy class filter,Filtre de classe mastodonte
KEY_INFESTESTATION_THREAT,Infestation chance,Probabilité d'infestation
KEY_INFESTESTATION_THREAT_DESC,"After activation, an infested base will need to be cleared out by a squad before it can be used.","Après l'activation, une base infestée devra être neutralisée par une escouade avant d'être utilisée."
KEY_INFILTRATOR_FILTER_TT,Infiltrator class filter,Filtre de classe infiltré
KEY_MISSION_PX_BASE_ACTIVATED_INFESTED_DEFEAT_DESCRIPTION,Our forces failed to secure the base and the infestation remains. We can make another attempt at a later time.,Nos forces n'ont pas réussi à sécuriser la base et l'infestation est toujours présente. Nous pouvons retenter ultérieurement.
KEY_MISSION_PX_BASE_ACTIVATED_INFESTED_DEFEAT_NAME,FAILED TO CLEAR INFESTATION,ÉCHEC DE LA NEUTRALISATION DE L'INFESTATION
KEY_MISSION_PX_BASE_ACTIVATED_INFESTED_DESCRIPTION,The activation sequence has revealed intruders within the base! Send a squad to clear out the infestation so the base can be used.,La séquence d'activation a révélé des intrus dans la base ! Envoyez une escouade pour neutraliser l'infestation afin de pouvoir utiliser la base.
KEY_MISSION_PX_BASE_ACTIVATED_INFESTED_NAME,Base Infestation Warning!,Avertissement d'infestation de la base !
KEY_MISSION_PX_BASE_ACTIVATED_INFESTED_VICTORY_DESCRIPTION,Our forces have successfully eliminated the Pandoran intruders and the base is now operational.,Nos forces ont réussi à éliminer les intrus pandoriens et la base est désormais opérationnelle.
