Key,English,French
KEY_FS_ALN_ACID_SWARMER_RESEARCHDEF_BENEFITS,,
KEY_FS_ALN_ACID_SWARMER_RESEARCHDEF_COMPLETE,"Species classification MYR-A
Placed higher in the Myrmidon's evolution chain, this species shows great cunning when performing its armed reconnaissance duties. What makes it exceptionally dangerous is its tendency to violently burst in an explosion of acid when threatened.","Classification de l'espèce MYR-A
 Placée plus haut dans la chaîne de l'évolution du Myrmidon, cette espèce s'avère très futée lors de ses missions de reconnaissance armée. Ce qui la rend exceptionnellement dangereuse, c'est sa tendance à violemment exploser en projetant de l'acide quand elle se sent menacée."
KEY_FS_ALN_ACID_SWARMER_RESEARCHDEF_NAME,ACID MYRMIDON,MYRMIDON CAUSTIQUE
KEY_FS_ALN_ACID_SWARMER_RESEARCHDEF_REVEAL,,
KEY_FS_ALN_ACID_SWARMER_RESEARCHDEF_UNLOCK,A new sub mutation of the Myrmidon species is reported to cause violent explosions of acid produced by special internal organs.,On signale qu'une nouvelle sous-mutation de l'espèce Myrmidon provoque de violentes explosions d'acide produit par des organes internes spéciaux.
KEY_FS_ALN_BASIC_SWARMER_RESEARCHDEF_BENEFITS,,
KEY_FS_ALN_BASIC_SWARMER_RESEARCHDEF_COMPLETE,"Species classification MYR-1
The Myrmidon creatures are known to take advantage of their large numbers and winged bodies to secure strategic locations and serve as armed reconnaissance troops for the Pandorans.","Classification de l'espèce MYR-1
 Les Myrmidons sont connus pour tirer parti de leur grand nombre et de leurs corps ailés pour s'emparer de zones stratégiques et servir de troupes de reconnaissance armées pour les Pandoriens."
KEY_FS_ALN_BASIC_SWARMER_RESEARCHDEF_NAME,MYRMIDON,MYRMIDON
KEY_FS_ALN_BASIC_SWARMER_RESEARCHDEF_REVEAL,,placeh
KEY_FS_ALN_BASIC_SWARMER_RESEARCHDEF_UNLOCK,"A new, nimble mutation of the Pandoravirus brought by the Festering Skies.",Une nouvelle mutation agile du Pandoravirus apportée par les Ciels de poison.
KEY_FS_ALN_CORRUPTION_NODE_RESEARCHDEF_BENEFITS,,
KEY_FS_ALN_CORRUPTION_NODE_RESEARCHDEF_COMPLETE,"Species classification CN-Alpha
A highly evolved form of the Pandoravirus has been reported to attack human settlements by attaching itself to structures and machinery to form a powerful symbiotic connection. Affected havens are completely overtaken by the creature and all of their citizens are kept in a mindless state serving the Pandorans.
Recent reports indicate Corruption Nodes are able to establish similar telepathic connection with AI-operated aircraft and using it to attack other humans. Despite the evidence of high intelligence, no attempt at peaceful contact with the creature has been successful yet.","Classification de l'espèce CN-Alpha
 On signale qu'une forme très évoluée du Pandoravirus attaque des colonies humaines en s'attachant aux machines et aux structures formant une forte connexion symbiotique. Les refuges affectés sont complètement contrôlés par la créature et tous les citoyens sont conservés dans un état d'abrutissement bien utile aux Pandoriens.
 De récents rapports indiquent que les Nœuds de corruption sont capables d'établir une connexion télépathique similaire avec les vaisseaux opérés par IA qu'ils utilisent ensuite pour attaquer d'autres humains. Malgré les preuves d'une intelligence supérieure, aucune tentative de contact pacifique avec la créature n'a pour le moment porté ses fruits."
KEY_FS_ALN_CORRUPTION_NODE_RESEARCHDEF_NAME,CORRUPTION NODE,NŒUD DE CORRUPTION
KEY_FS_ALN_CORRUPTION_NODE_RESEARCHDEF_REVEAL,,
KEY_FS_ALN_CORRUPTION_NODE_RESEARCHDEF_UNLOCK,A monstrous entity whose anatomy doesn't resemble any Pandoravirus mutation in our database able to take over machines and entire settlements by telepathic attacks.,Une entité monstrueuse dont l'anatomie ne ressemble en rien aux mutations de Pandoravirus de notre base de données. Elle est capable de prendre le contrôle de machines et de colonies entières par attaques télépathiques.
KEY_FS_ALN_LARGE_FLYER_RESEARCHDEF_BENEFITS,,
KEY_FS_ALN_LARGE_FLYER_RESEARCHDEF_COMPLETE,"Species classification PF-Alpha
The largest species of winged Pandoran discovered to date shows superior strength and intelligence. Its complex and unpredictable behavioral patterns make it the greatest airborne threat to humanity. The study of its movements is of utmost importance given its cunning and destructive potential. Threat level: critical.","Classification de l'espèce PF-Alpha
 La plus grande espèce de Pandorien ailé découverte à ce jour indique une force et une intelligence supérieures. Ses comportements complexes et imprévisibles en font la menace volante la plus redoutable pour l'humanité. L'observation de ses déplacements est une priorité étant donné son potentiel fourbe et destructeur. Niveau de menace : critique."
KEY_FS_ALN_LARGE_FLYER_RESEARCHDEF_NAME,ABADDON,ABADDON
KEY_FS_ALN_LARGE_FLYER_RESEARCHDEF_REVEAL,,Placeholder text
KEY_FS_ALN_LARGE_FLYER_RESEARCHDEF_UNLOCK,,Placeholder text
KEY_FS_ALN_MEDIUM_FLYER_RESEARCHDEF_BENEFITS,,
KEY_FS_ALN_MEDIUM_FLYER_RESEARCHDEF_COMPLETE,"Species classification PF-M
This new mutation spawned from the Festering Skies is aggressive and tenacious. Its well-coordinated flight patterns indicate a sinister sense of purpose. Field reports and collected footage shows that Berith strikes are carefully planned in advance and executed with alarming haste and precision. Threat level: very high.","Classification de l'espèce PF-M
 Cette nouvelle mutation est apparue dans les Ciels de poison. Elle est agressive et tenace. Ses trajectoires de vol indiquent une détermination sinistre. Les rapports de terrain et les images recueillies montrent que les attaques de Berith sont soigneusement planifiées et réalisées avec une vitesse et une précision alarmantes. Niveau de menace : très élevé."
KEY_FS_ALN_MEDIUM_FLYER_RESEARCHDEF_NAME,BERITH,BERITH
KEY_FS_ALN_MEDIUM_FLYER_RESEARCHDEF_REVEAL,,Placeholder text
KEY_FS_ALN_MEDIUM_FLYER_RESEARCHDEF_UNLOCK,,Placeholder text
KEY_FS_ALN_SMALL_FLYER_RESEARCHDEF_BENEFITS,,
KEY_FS_ALN_SMALL_FLYER_RESEARCHDEF_COMPLETE,"Species classification PF-1
This newly discovered mutation of the Pandoravirus was first spotted after the hatching of the Behemoth. It is likely bred inside the Festering Skies. It shows signs of great intelligence, probably remotely guided by some sort of hive mind. Charun specimens are highly aggressive and are known to attack both airborne and stationary human targets. Threat level: high.","Classification de l'espèce PF-1
 Cette mutation récemment découverte du Pandoravirus a été repérée pour la première fois après l'éclosion du Béhémoth. Elle a probablement été produite dans les Ciels de poison. Elle montre des signes de grande intelligence et est sûrement guidée par une sorte d'intelligence collective. Les spécimens de Charun sont très agressifs et attaquent les cibles humaines en vol ou stationnaires. Niveau de menace : élevé."
KEY_FS_ALN_SMALL_FLYER_RESEARCHDEF_NAME,CHARUN,CHARUN
KEY_FS_ALN_SMALL_FLYER_RESEARCHDEF_REVEAL,,Placeholder text
KEY_FS_ALN_SMALL_FLYER_RESEARCHDEF_UNLOCK,,Placeholder text
KEY_FS_ALN_SWARMER_EGG_RESEARCHDEF_BENEFITS,,
KEY_FS_ALN_SWARMER_EGG_RESEARCHDEF_COMPLETE,"Species classification MYR-POD
Field reports indicate the shell of this creature is harder to penetrate and even dissolve using acid. The egg is reactive to approaching humans and machines, and when threatened, shows ability to quickly release the Myrmidon hibernating  inside.","Classification de l'espèce MYR-POD
 
 Les rapports sur le terrain indiquent que la coquille de cette créature est plus difficile à transpercer ou même à dissoudre avec de l'acide. L'œuf réagit à l'approche d'humains et de machines, et lorsqu'il se sent menacé, il peut rapidement libérer le Myrmidon en hibernation qu'il contient."
KEY_FS_ALN_SWARMER_EGG_RESEARCHDEF_NAME,MYRMIDON EGG,ŒUF DE MYRMIDON
KEY_FS_ALN_SWARMER_EGG_RESEARCHDEF_REVEAL,,
KEY_FS_ALN_SWARMER_EGG_RESEARCHDEF_UNLOCK,An organism containing singular Myrmidon inside. Its shell shows great resistance to external dangers including acid and poison exposure.,"Un organisme contenant un Myrmidon. Sa coquille est très résistante aux dangers externes, y compris à l'acide et au poison."
KEY_FS_ALN_VENOMOUS_SWARMER_RESEARCHDEF_BENEFITS,,
KEY_FS_ALN_VENOMOUS_SWARMER_RESEARCHDEF_COMPLETE,"Species classification MYR-P
An evolved form of the recently discovered Myrmidon mutants with internal chambers filled with chemicals similar to some known species of Pandoran worms. When threatened, the creature releases the chemicals to cause a powerful explosion of poisonous gas.","Classification de l'espèce MYR-P
 Une forme évoluée de Myrmidons mutants récemment découverts qui sont dotés de cavités internes remplies de substances chimiques semblables à celles d'espèces connues de vers pandoriens. Lorsqu'elle se sent menacée, cette créature libère des substances chimiques visant à provoquer une grosse explosion de gaz toxique."
KEY_FS_ALN_VENOMOUS_SWARMER_RESEARCHDEF_NAME,VENOMOUS MYRMIDON,MYRMIDON VENIMEUX
KEY_FS_ALN_VENOMOUS_SWARMER_RESEARCHDEF_REVEAL,,
KEY_FS_ALN_VENOMOUS_SWARMER_RESEARCHDEF_UNLOCK,A new sub mutation of the Myrmidon species has been known to attack humans with bursts of poisonous gas.,Une nouvelle sous-mutation de l'espèce Myrmidon attaque les humains avec des explosions de gaz toxique.
KEY_FS_AN_AERIAL_WARFARE_RESEARCHDEF_BENEFIT,Battle-ready Tiamat is available for production,Le Tiamat de combat est disponible à la production
