Key,English,French
KEY_AMMO_AN_ACID_HANDGUN_DESCRIPTION,Disciples of Anu Acid Handgun Magazine,Chargeur pour pistolet à acide des Disciples d'Anu
KEY_AMMO_AN_ACID_HANDGUN_NAME,Sanctifier Magazine,Chargeur pour Sanctificateur
KEY_AMMO_AN_HAND_CANNON_DESCRIPTION,Disciples of Anu Hand Cannon Magazine,Chargeur pour canon de poing des Disciples d'Anu
KEY_AMMO_AN_HAND_CANNON_NAME,Nergal's Wrath Magazine,Chargeur pour Courroux de Nergal
KEY_AMMO_AN_REDEMPTOR_DESCRIPTION,Disciples of Anu Virus Rifle Magazine,Chargeur pour fusil viral des Disciples d'Anu
KEY_AMMO_AN_REDEMPTOR_NAME,Redeemer Magazine,Chargeur pour Rédempteur
KEY_AMMO_AN_SHOTGUN_DESCRIPTION,Disciples of Anu Shotgun Magazine,Chargeur pour fusil à pompe des Disciples d'Anu
KEY_AMMO_AN_SHOTGUN_NAME,Iconoclast Magazine,Chargeur pour Iconoclaste
KEY_AMMO_AN_SHREDDING_SHOTGUNN_NAME,Harrower Magazine,Chargeur pour Abomination
KEY_AMMO_AN_SHREDDING_SHOTGUN_DESCRIPTION,Disciples of Anu Shredding Shotgun Magazine,Chargeur pour fusil déchiqueteur des Disciples d'Anu
KEY_AMMO_AN_SUBJECTOR_DESCRIPTION,Disciples of Anu Virus Sniper Rifle Magazine,Chargeur pour fusil de précision viral des Disciples d'Anu
KEY_AMMO_AN_SUBJECTOR_NAME,Subjugator Magazine,Chargeur pour Dominateur
KEY_AMMO_ASSAULT_RIFLE_DESCRIPTION,New Jericho Gauss Assault Rifle Magazine,Chargeur pour fusil d'assaut Gauss de la Nouvelle-Jéricho
KEY_AMMO_ASSAULT_RIFLE_NAME,Bulldog AR-50 Magazine,Chargeur pour Bulldog AR-50
KEY_AMMO_GRENADE_LAUNCHER_DESCRIPTION,Phoenix Grenade Launcher Magazine,Chargeur pour lance-grenades Phoenix
KEY_AMMO_GRENADE_LAUNCHER_NAME,Goliath GL-2 Magazine,Chargeur pour Goliath GL-2
KEY_AMMO_HAND_GUN_NAME,Iron Fury Handgun Magazine,Chargeur pour pistolet Iron Fury
KEY_AMMO_HAND_GUN_NAME_DESCRIPTION,New Jericho Gauss Handgun Magazine,Chargeur pour pistolet Gauss de la Nouvelle-Jéricho
KEY_AMMO_LASER_ARRAY_CANNON_DESCRIPTION,Phoenix Laser Array Energy Pack,Pack énergétique pour faisceau laser Phoenix
KEY_AMMO_LASER_ARRAY_CANNON_NAME,Destiny III Energy Pack,Pack énergétique pour Destiny III
KEY_AMMO_MACHINE_GUN_DESCRIPTION,New Jericho Gauss Machine Gun Magazine,Chargeur pour mitrailleuse Gauss de la Nouvelle-Jéricho
KEY_AMMO_MACHINE_GUN_NAME,Deceptor MG Magazine,Chargeur pour Deceptor MG
KEY_AMMO_NE_ASSAULT_RIFLE_DESCRIPTION,Independent Assault Rifle Magazine,Chargeur pour fusil d'assaut des Indépendants
KEY_AMMO_NE_ASSAULT_RIFLE_NAME,Yat AR Magazine,Chargeur pour Yat AR
KEY_AMMO_NE_MACHINE_GUN_DESCRIPTION,Independent Machine Gun Magazine,Chargeur pour mitrailleuse des Indépendants
KEY_AMMO_NE_MACHINE_GUN_NAME,Uragan MG Magazine,Chargeur pour Uragan MG
KEY_AMMO_NE_PISTOL_DESCRIPTION,Independent Handgun Magazine,Chargeur pour pistolet des Indépendants
KEY_AMMO_NE_PISTOL_NAME,Udar HG Magazine,Chargeur pour Udar HG
KEY_AMMO_NE_SNIPER_RIFLE_DESCRIPTION,Independent Sniper Rifle Magazine,Chargeur pour fusil de précision des Indépendants
KEY_AMMO_NE_SNIPER_RIFLE_NAME,Vyara SR Magazine,Chargeur pour Vyara SR
KEY_AMMO_NJ_GUIDED_MISSILE_LAUNCHER_DESCRIPTION,New Jericho Advanced Missile,Lance-missiles amélioré de la Nouvelle-Jéricho
KEY_AMMO_NJ_GUIDED_MISSILE_LAUNCHER_NAME,Thor AML Missile,Missile pour Thor AML
KEY_AMMO_NJ_HEAVY_ROCKET_LAUNCHER_DESCRIPTION,New Jericho Heavy Rocket Launcher Ammo,Munitions pour lance-roquettes pour Mastodonte de la Nouvelle-Jéricho
KEY_AMMO_NJ_HEAVY_ROCKET_LAUNCHER_NAME,Archangel RL1 Rocket Magazine,Chargeur pour lance-roquettes Archange RL1
KEY_AMMO_NJ_PIERCING_ASSAULT_RIFLE_DESCRIPTION,New Jericho Piercing Assault Rifle Magazine,Chargeur pour fusil d'assaut perforant de la Nouvelle-Jéricho
KEY_AMMO_NJ_PIERCING_ASSAULT_RIFLE_NAME,Piranha AR-51 Magazine,Chargeur pour Piranha AR-51
KEY_AMMO_NJ_PIERCING_PDW_DESCRIPTION,New Jericho Piercing PDW Magazine,Chargeur pour arme perforante de la Nouvelle-Jéricho
KEY_AMMO_NJ_PIERCING_PDW_NAME,VDM Enforcer Magazine,Chargeur pour Enforcer VDM
KEY_AMMO_NJ_PIERCING_SNIPER_RIFLE_DESCRIPTION,New Jericho Piercing Sniper Rifle Magazine,Chargeur pour fusil de précision perforant de la Nouvelle-Jéricho
KEY_AMMO_NJ_PIERCING_SNIPER_RIFLE_NAME,Raven SR13 Magazine,Chargeur pour Raven SR13
KEY_AMMO_NJ_PIERCING_TURRET_DESCRIPTION,New Jericho Piercing Auto Turret Magazine,Chargeur pour tourelle automatisée perforante de la Nouvelle-Jéricho
KEY_AMMO_NJ_PIERCING_TURRET_NAME,Rattlesnake AT Magazine,Chargeur pour Rattlesnake AT
KEY_AMMO_PDW_MAGAZINE_DESCRIPTION,New Jericho Gauss PDW Magazine,Chargeur pour arme Gauss de la Nouvelle-Jéricho
KEY_AMMO_PDW_MAGAZINE_NAME,VDM Defender Magazine,Chargeur pour Defender VDM
KEY_AMMO_PX_ACID_CANNON_DESCRIPTION,Phoenix Acid Cannon Magazine,Chargeur pour canon caustique Phoenix
KEY_AMMO_PX_ACID_CANNON_NAME,Jormungandr Cannon Magazine,Chargeur pour canon Jörmungandr
KEY_AMMO_PX_ASSAULT_RIFLE_DESCRIPTION,Phoenix Assault Rifle Magazine,Chargeur pour fusil d'assaut Phoenix
KEY_AMMO_PX_ASSAULT_RIFLE_NAME,Ares AR-1 Magazine,Chargeur pour Arès AR-1
KEY_AMMO_PX_LASER_PDW_DESCRIPTION,Phoenix Laser PDW Energy Pack,Pack énergétique pour arme laser Phoenix
KEY_AMMO_PX_LASER_PDW_NAME,Gorgon Eye-A Energy Pack,Pack énergétique pour Gorgon Eye-A
KEY_AMMO_PX_LASER_TURRET_DESCRIPTION,Phoenix Laser Auto Turret Magazine,Chargeur pour tourelle laser automatisée Phoenix
