Key,English,French
KEY_ATTACHMENT_BODY,Armor Attachment,Greffe d'armure
KEY_ATTACHMENT_HELMET,Helmet Attachment,Greffe de casque
KEY_ATTACHMENT_LEGS,Leg Attachment,Greffe de jambe
KEY_BACK_PACK,Backpack,Sac à dos
KEY_GEOSCAPE_ADDAMMO,+ AMMO,+ MUNITIONS
KEY_GEOSCAPE_ADD_AMMO_INFO,ADD AMMO OF THIS TYPE TO BACKPACK,AJOUTEZ CE TYPE DE MUNITIONS AU SAC À DOS
KEY_GEOSCAPE_ALL,ALL,TOUT
KEY_GEOSCAPE_ATTACHMENTS,ATTACHMENTS,GREFFES
KEY_GEOSCAPE_DESELECT,DESELECT,DÉSÉLECTIONNER
KEY_GEOSCAPE_DRAG_MANUFACTURE,Drag here to manufacture,Faites glisser ici pour fabriquer
KEY_GEOSCAPE_DRAG_SCRAP,Drag here to scrap,Faites glisser ici pour recycler
KEY_GEOSCAPE_EQUIPMENT,EQUIPMENT,ÉQUIPEMENT
KEY_GEOSCAPE_EQUIPPED,EQUIPPED,ÉQUIPÉ
KEY_GEOSCAPE_EQUIP_FROM_STORES,Equip {item} from stores,Équiper {item} depuis les entrepôts
KEY_GEOSCAPE_GROUND,GROUND,TERRE
KEY_GEOSCAPE_ITEM_ADDED_MANUFACTURE,{item} added to manufacture queue,Objet ({item}) ajouté à la file d'attente de fabrication
KEY_GEOSCAPE_ITEM_EQUIPPED,{item} equipped by {soldier},Objet ({item}) équipé par {soldier}
KEY_GEOSCAPE_ITEM_QUEUED,Item already in queue,Objet déjà dans la file d'attente
KEY_GEOSCAPE_ITEM_STACK,ITEM STACK,PILE D'OBJETS
KEY_GEOSCAPE_LOCATION,LOCATION,LIEU
KEY_GEOSCAPE_MANUFACTURE_INFO,PRODUCE A SIMILAR ITEM FROM AVAILABLE RESOURCES,PRODUISEZ UN OBJET SIMILAIRE AVEC LES RESSOURCES DISPONIBLES
KEY_GEOSCAPE_PRODUCE,+ ITEM,+ OBJET
KEY_GEOSCAPE_PRODUCE_BUILD_BOTH,Manufacture {item} for {0} Materials and {1} Tech,Fabriquer l'objet {item} pour {0} matériaux et {1} technologie(s)
KEY_GEOSCAPE_PRODUCE_BUILD_MATERIALS,Manufacture {item} for {0} Materials,Fabriquer l'objet {item} pour {0} matériaux
KEY_GEOSCAPE_PRODUCE_IMPOSSIBLE,This item is impossible to manufacture,Cet objet est impossible à fabriquer
KEY_GEOSCAPE_PRODUCE_MANUFACTURE,Item ({item}) can only be produced in the Manufacturing interface.,L'objet ({item}) ne peut être produit que dans l'interface Fabrication.
KEY_GEOSCAPE_PRODUCE_RESEARCH,You do not have the necessary research to manufacture this item,Vous n'avez pas effectuer la recherche nécessaire pour fabriquer cet objet.
KEY_GEOSCAPE_RECYCLE_INFO,DESTROY AND RECYCLE FOR RESOURCES,DÉTRUISEZ LES OBJETS ET RECYCLEZ-LES POUR OBTENIR DES RESSOURCES
KEY_GEOSCAPE_REPLENISH_ALL,Replenish all,Tout réapprovisionner
KEY_GEOSCAPE_REPLENISH_SOLDIERS,Replenish Soldiers,Réapprovisionner soldats
KEY_GEOSCAPE_STAMINA,STAMINA,ENDURANCE
KEY_GEOSCAPE_UNEQUIP,UNEQUIP,RETIRER
KEY_GEOSCAPE_WAIT,Processing ...,Traitement...
