Key,English,French
KEY_GEO_HINT_AUGMENTATION_SCREEN_DESCRIPTION,"You are about to augment your first soldier. A character can only have UP TO 2 BODY PARTS replaced this way.

Once an augmentation is installed, the soldier will not be able to revert back to their natural limbs. However, augmented body parts CAN BE SWAPPED with different cybernetic parts.

Augmented body parts are IMMUNE TO BLEEDING and RESISTANT TO VIRAL DAMAGE, POISON, AND PARALYSIS. Damaged cybernetics CAN BE REPAIRED after battle at the expense of Tech and Materials. ","Vous êtes sur le point d'effectuer votre première augmentation. Un personnage ne peut avoir que 2 PARTIES DU CORPS remplacées de cette façon.

 Une fois une augmentation installée, le soldat ne pourra pas récupérer les parties naturelles de son corps. Cependant, il est POSSIBLE D'ÉCHANGER les parties cybernétiques.
 
 Les parties du corps augmentées sont IMMUNISÉES CONTRE LE SAIGNEMENT et RÉSISTANTES AUX DÉGÂTS VIRAUX, AU POISON ET À LA PARALYSIE. Les dégâts cybernétiques PEUVENT ÊTRE RÉPARÉS après un combat en échange de technologie et de matériaux."
KEY_GEO_HINT_AUGMENTATION_SCREEN_NAME,AUGMENTING A SOLDIER,AUGMENTATION DE SOLDAT
KEY_GEO_HINT_CUSTOMIZE_DESC,You can customize the appearance and names of your soldiers. You can use this to easily identify your key soldiers on the battlefield.,Vous pouvez personnaliser l'apparence et les noms de vos soldats. Utilisez cette fonctionnalité pour facilement identifier vos soldats clés en combat.
KEY_GEO_HINT_CUSTOMIZE_TITLE,CUSTOMIZATION,PERSONNALISATION
KEY_GEO_HINT_CYBERNETICS_LAB_BUILT_DESCRIPTION,"The construction of your Cybernetics Lab is complete. You will now be able to AUGMENT SOLDIERS, replacing their natural limbs with powerful cybernetics.


To Augment a soldier, navigate to the PERSONNEL tab, select EDIT UNIT and then select AUGMENT.","La construction de votre laboratoire cybernétique est terminée. Vous pourrez maintenant AUGMENTER LES SOLDATS, en remplaçant des parties de leur corps par des membres cybernétiques puissants.
 
 Pour effectuer une augmentation, accédez à l'onglet PERSONNEL, sélectionnez MODIFIER L'UNITÉ, puis AUGMENTER."
KEY_GEO_HINT_CYBERNETICS_LAB_BUILT_NAME,AUGMENTATION NOW AVAILABLE,AUGMENTATION DISPONIBLE
KEY_GEO_HINT_DIPLOMACY_BLOCKED_TITLE,DIPLOMACY PROGRESSION BLOCKED,PROGRESSION DIPLOMATIQUE BLOQUÉE
KEY_GEO_HINT_DIP_ANU1_DESC,"The attitude of the DISCIPLES OF ANU towards the Phoenix Project cannot improve further until you have completed their diplomancy mission. Check the DIPLOMACY tab for details. Once the mission is successfully completed, they will become SUPPORTIVE and their havens will be revealed instantly upon discovering them.","L'attitude des DISCIPLES D'ANU envers le Projet Phoenix ne s'améliorera pas davantage si vous ne réalisez pas leur mission diplomatique. Consultez l'onglet DIPLOMATIE pour en savoir plus. Une fois la mission réussie, cette faction vous sera FAVORABLE et leurs refuges seront révélés dès qu’ils sont découverts."
KEY_GEO_HINT_DIP_ANU2_DESC,"The attitude of the DISCIPLES OF ANU towards the Phoenix Project cannot improve further until you have completed their next diplomancy mission. Check the DIPLOMACY tab for details. Once the mission is successfully completed, they will become ALIGNED and share their completed research with you.","L'attitude des DISCIPLES D'ANU envers le Projet Phoenix ne s'améliorera pas davantage si vous ne réalisez pas leur mission diplomatique suivante. Consultez l'onglet DIPLOMATIE pour en savoir plus. Une fois la mission réussie, cette faction sera ALIGNÉE sur votre objectif et partagera ses recherches terminées avec vous."
KEY_GEO_HINT_DIP_ANU3_DESC,"The attitude of the DISCIPLES OF ANU towards the Phoenix Project cannot improve further until you have completed their next diplomancy mission. Check the DIPLOMACY tab for details. Once the mission is successfully completed, they will become ALLIED and you can find a solution to the Pandoran threat together.","L'attitude des DISCIPLES D'ANU envers le Projet Phoenix ne s'améliorera pas davantage si vous ne réalisez pas leur mission diplomatique suivante. Consultez l'onglet DIPLOMATIE pour en savoir plus. Une fois la mission réussie, cette faction sera votre ALLIÉE et vous pourrez trouver une solution ensemble à la menace pandorienne."
KEY_GEO_HINT_DIP_NJ1_DESC,"The attitude of NEW JERICHO to the Phoenix Project cannot improve further until you have completed their diplomancy mission. Check the DIPLOMACY tab for details. Once the mission is successfully completed, they will become SUPPORTIVE and their havens will be revealed instantly upon discovering them.","L'attitude de la NOUVELLE-JÉRICHO envers le Projet Phoenix ne s'améliorera pas davantage si vous ne réalisez pas sa mission diplomatique. Consultez l'onglet DIPLOMATIE pour en savoir plus. Une fois la mission réussie, cette faction vous sera FAVORABLE et leurs refuges seront révélés dès qu’ils sont découverts."
KEY_GEO_HINT_DIP_NJ2_DESC,"The attitude of NEW JERICHO to the Phoenix Project cannot improve further until you have completed their next diplomancy mission. Check the DIPLOMACY tab for details. Once the mission is successfully completed, they will become ALIGNED and share their completed research with you.","L'attitude de la NOUVELLE-JÉRICHO envers le Projet Phoenix ne s'améliorera pas davantage si vous ne réalisez pas sa mission diplomatique suivante. Consultez l'onglet DIPLOMATIE pour en savoir plus. Une fois la mission réussie, cette faction sera ALIGNÉE sur votre objectif et partagera ses recherches terminées avec vous."
KEY_GEO_HINT_DIP_NJ3_DESC,"The attitude of NEW JERICHO to the Phoenix Project cannot improve further until you have completed their next diplomacy mission. Check the DIPLOMACY tab for details. Once the mission is successfully completed, they will become ALLIED and you can find a solution to the Pandoran threat together.","L'attitude de la NOUVELLE-JÉRICHO envers le Projet Phoenix ne s'améliorera pas davantage si vous ne réalisez pas sa mission diplomatique suivante. Consultez l'onglet DIPLOMATIE pour en savoir plus. Une fois la mission réussie, cette faction sera votre ALLIÉE et vous pourrez trouver une solution ensemble à la menace pandorienne."
KEY_GEO_HINT_DIP_SYN1_DESC,"The attitude of SYNEDRION to the Phoenix Project cannot improve further until you have completed their diplomancy mission. Check the DIPLOMACY tab for details. Once the mission is successfully completed, they will become SUPPORTIVE and their havens will be revealed instantly upon discovering them.","L'attitude du SYNÉDRION envers le Projet Phoenix ne s'améliorera pas davantage si vous ne réalisez pas sa mission diplomatique. Consultez l'onglet DIPLOMATIE pour en savoir plus. Une fois la mission réussie, cette faction vous sera FAVORABLE et leurs refuges seront révélés dès qu’ils sont découverts."
KEY_GEO_HINT_DIP_SYN2_DESC,"The attitude of SYNEDRION to the Phoenix Project cannot improve further until you have completed their next diplomancy mission. Check the DIPLOMACY tab for details. Once the mission is successfully completed, they will become ALIGNED and share their completed research with you.","L'attitude du SYNÉDRION envers le Projet Phoenix ne s'améliorera pas davantage si vous ne réalisez pas sa mission diplomatique suivante. Consultez l'onglet DIPLOMATIE pour en savoir plus. Une fois la mission réussie, cette faction sera ALIGNÉE sur votre objectif et partagera ses recherches terminées avec vous."
KEY_GEO_HINT_DIP_SYN3_DESC,"The attitude of SYNEDRION to the Phoenix Project cannot improve further until you have completed their next diplomancy mission. Check the DIPLOMACY tab for details. Once the mission is successfully completed, they will become ALLIED and you can find a solution to the Pandoran threat together.","L'attitude du SYNÉDRION envers le Projet Phoenix ne s'améliorera pas davantage si vous ne réalisez pas sa mission diplomatique suivante. Consultez l'onglet DIPLOMATIE pour en savoir plus. Une fois la mission réussie, cette faction sera votre ALLIÉE et vous pourrez trouver une solution ensemble à la menace pandorienne."
