Key,English,French
KEY_AIRCRAFT_EMPTY,VACANT,VIDE
KEY_AIRCRAFT_STATS_CAPACITY,CAPACITY,CAPACITÉ
KEY_AIRCRAFT_STATS_DURABILITY,DURABILITY,DURABILITÉ
KEY_AIRCRAFT_STATS_RANGE,RANGE,PORTÉE
KEY_AIRCRAFT_STATS_SPEED,SPEED,VITESSE
KEY_ALIEN_BASE_ABANDONED_CITADEL,ABANDONED PANDORAN CITADEL,CITADELLE PANDORIENNE ABANDONNÉE
KEY_ALIEN_BASE_ABANDONED_CITADEL_DESC,This structure has been abandoned,Cette structure a été abandonnée
KEY_ALIEN_BASE_ABANDONED_LAIR,ABANDONED PANDORAN LAIR,TANIÈRE PANDORIENNE ABANDONNÉE
KEY_ALIEN_BASE_ABANDONED_LAIR_DESC,This structure has been abandoned to build a Pandoran Citadel nearby,Cette structure a été abandonnée pour laisser place à la construction d'une Citadelle pandorienne
KEY_ALIEN_BASE_ABANDONED_NEST,ABANDONED PANDORAN NEST,NID PANDORIEN ABANDONNÉ
KEY_ALIEN_BASE_ABANDONED_NEST_DESC,This structure has been abandoned to build an Pandoran Lair nearby,Cette structure a été abandonnée pour laisser place à la construction d'une Tanière pandorienne
KEY_ALIEN_BASE_CITADEL,PANDORAN CITADEL,CITADELLE PANDORIENNE
KEY_ALIEN_BASE_DESTROYED_CITADEL,DESTROYED PANDORAN CITADEL,CITADELLE PANDORIENNE DÉTRUITE
KEY_ALIEN_BASE_DESTROYED_LAIR,DESTROYED PANDORAN LAIR,TANIÈRE PANDORIENNE DÉTRUITE
KEY_ALIEN_BASE_DESTROYED_NEST,DESTROYED PANDORAN NEST,NID PANDORIEN DÉTRUIT
KEY_ALIEN_BASE_LAIR,PANDORAN LAIR,TANIÈRE PANDORIENNE
KEY_ALIEN_BASE_NEST,PANDORAN NEST,NID PANDORIEN
KEY_ALIEN_BASE_PALACE,PANDORAN PALACE,PALAIS PANDORIEN
KEY_BUILD_ARMADILLO_DESCRIPTION,Build a Ground Vehicle using Material and Tech resources,Construire un véhicule terrestre à l'aide de matériel et de ressources technologiques
KEY_BUILD_ARMADILLO_NAME,BUILD ARMADILLO,CONSTRUIRE UN PRIODONTE
KEY_DEFEND,DEFEND,DÉFENDRE
KEY_FACILITY_BUILDING,FACILITY UNDER CONSTRUCTION,INSTALLATION EN CONSTRUCTION
KEY_GEOSCAPE_AIRCRAFT_TT,Aircraft under Phoenix Point control,Vaisseau sous contrôle de Phoenix Point
KEY_GEOSCAPE_ANU_AIRCRAFT_DESCRIPTION,Disciples of Anu Aircraft,Vaisseau des Disciples d'Anu
KEY_GEOSCAPE_ANU_AIRCRAFT_NAME,TIAMAT,TIAMAT
KEY_GEOSCAPE_AN_AIRCRAFT,TIAMAT {0},TIAMAT {0}
KEY_GEOSCAPE_BASE_INFO,BASE INFO,INFOS DE LA BASE
KEY_GEOSCAPE_CHAIN_DESTINATIONS,Shift + RMB: Chain Destinations,Maj. + clic droit : enchaîner les destinations
KEY_GEOSCAPE_CLOSE,CLOSE,FERMER
KEY_GEOSCAPE_CONDITION,CONDITION,CONDITION
KEY_GEOSCAPE_CONFIRM,CONFIRM,CONFIRMER
KEY_GEOSCAPE_COST,COST,COÛT
KEY_GEOSCAPE_DESTINATION_DIRECT,#Destination requires new Refuelling Station or Emergency Refuielling,#Destination requires new Refuelling Station or Emergency Refuielling
KEY_GEOSCAPE_DESTINATION_INDIRECT,#Destination is within refuelling range,#Destination is within refuelling range
KEY_GEOSCAPE_DIPLOMACY,DIPLOMACY,DIPLOMATIE
KEY_GEOSCAPE_EQUIP,EQUIP,ÉQUIPER
KEY_GEOSCAPE_EVENT_LOG,EVENT LOG,JOURNAL DE BORD
KEY_GEOSCAPE_EXIT,QUIT GAME,"QUITTER "
