Key,English,French
KEY_GEOSCAPE_ZONE_CHAMBER_DESCRIPTION,The exalted has created a structure to complete her final mutation to a higher being.,L'Exaltée a créé une structure afin d'achever sa mutation finale et se transformer en un être supérieur.
KEY_GEOSCAPE_ZONE_CHAMBER_NAME,TEMPLE OF THE EXALTED,TEMPLE DE L'EXALTÉE
KEY_GEOSCAPE_ZONE_ENERGY_ZONE_DESCRIPTION,"Energy generation zones enable factories, food production, research centers and other special zones to function.","Les zones de production d'énergie assurent le bon fonctionnement des usines, des zones de production alimentaire, des centres de recherche ainsi que d'autres zones spéciales."
KEY_GEOSCAPE_ZONE_ENERGY_ZONE_NAME,ENERGY GENERATION,PRODUCTION D'ÉNERGIE
KEY_GEOSCAPE_ZONE_FACTORY_DESCRIPTION,"Factory zones contribute to repair and construction of new zones, and contribute support to allied havens within influence range.","Les usines aident à réparer et construire de nouvelles zones, et apportent un soutien aux refuges alliés situés dans leur champ d'influence."
KEY_GEOSCAPE_ZONE_FACTORY_NAME,FACTORY,USINE
KEY_GEOSCAPE_ZONE_FOOD_DESCRIPTION,"Food production zones provide a substantial amount of food for a haven, and contribute some food to allied havens within influence range.","Les zones de production alimentaire fournissent à un refuge une quantité considérable de nourriture, et en verse une partie aux refuges alliés situés dans son champ d'influence."
KEY_GEOSCAPE_ZONE_FOOD_NAME,FOOD PRODUCTION,PRODUCTION ALIMENTAIRE
KEY_GEOSCAPE_ZONE_FORTRESS_DESCRIPTION,Tobias West has constructed a fortress with a central command hub critical for New Jericho's strategic objectives.,Tobias West a construit une forteresse dotée d'un centre de commandement essentiel aux objectifs stratégiques de la Nouvelle-Jéricho.
KEY_GEOSCAPE_ZONE_FORTRESS_NAME,TOBIAS WEST'S FORTRESS,FORTERESSE DE TOBIAS WEST
KEY_GEOSCAPE_ZONE_LAUNCH_DESCRIPTION,Synedrion has completed a launcher for a mission to the moon to recover Pandoran matter.,Le Synédrion a terminé la construction d'un site de décollage en vue d'une mission sur la lune ayant pour objectif de récupérer de la matière pandorienne.
KEY_GEOSCAPE_ZONE_LAUNCH_NAME,MOON LAUNCHER SITE,SITE DE DÉCOLLAGE LUNAIRE
KEY_GEOSCAPE_ZONE_MISSIONARY_DESCRIPTION,"A missionary temple doubles the influence range of the haven, and will convert populations of other factions within range, increasing this haven's population.","Un temple missionnaire double le champ d'influence d'un refuge et convertit les populations d'autres factions situées à portée, augmentant ainsi sa population."
KEY_GEOSCAPE_ZONE_MISSIONARY_NAME,MISSIONARY TEMPLE,TEMPLE MISSIONNAIRE
KEY_GEOSCAPE_ZONE_MIST_DESCRIPTION,"Mist repellers create a mist-free zone around the Haven, reducing starvation and the risk of attack from Pandoran bases.","Les repousseurs de brume créent une zone sans brume autour du refuge, réduisant la famine et le risque de se faire attaquer par des bases pandoriennes."
KEY_GEOSCAPE_ZONE_MIST_NAME,MIST REPELLER,REPOUSSEUR DE BRUME
KEY_GEOSCAPE_ZONE_RESEARCH_DESCRIPTION,Research centers contribute research effort to faction research project.,Les centres de recherche contribuent aux recherches des projets de recherche d'une faction.
KEY_GEOSCAPE_ZONE_RESEARCH_NAME,RESEARCH CENTER,CENTRE DE RECHERCHE
KEY_GEOSCAPE_ZONE_RESIDENTIAL_DESCRIPTION,"Havens will generally provide enough accomodation for their populations, but they are vulnerable to Pandoran attack.","Les refuges proposent en général assez d'espaces habitables à leurs populations, mais ils sont toutefois vulnérables aux attaques pandoriennes."
KEY_GEOSCAPE_ZONE_RESIDENTIAL_ELITE_DESCRIPTION,Havens with substantial populations belonging to either New Jericho or Disciples of Anu have elite residential disctricts for their ruling class,Les refuges qui abritent une population considérable et qui appartiennent à la Nouvelle-Jéricho ou aux Disciples d'Anu disposent de quartiers résidentiels destinés à leurs classes dirigeantes.
KEY_GEOSCAPE_ZONE_RESIDENTIAL_ELITE_NAME,ELITE RESIDENCES,RÉSIDENCES D'ÉLITE
KEY_GEOSCAPE_ZONE_RESIDENTIAL_NAME,RESIDENTIAL DISTRICT,QUARTIER RÉSIDENTIEL
KEY_GEOSCAPE_ZONE_TRAINING_DESCRIPTION,"Training centers provide military force for the haven, and contribute to the protection of allied havens within influence range.","Les centres d'entraînement procurent au refuge une force militaire, et contribuent à la protection des refuges alliés situés dans son champ d'influence."
KEY_GEOSCAPE_ZONE_TRAINING_ELITE_DESCRIPTION,"Elite training centers provide increased military force, and produce elite class soldiers.","Les centres d'entraînement d'élite offrent une force militaire accrue, et produisent des soldats d'élite."
KEY_GEOSCAPE_ZONE_TRAINING_ELITE_NAME,ELITE TRAINING,ENTRAÎNEMENT D'ÉLITE
KEY_GEOSCAPE_ZONE_TRAINING_NAME,TRAINING CENTER,CENTRE D'ENTRAÎNEMENT
KEY_GEOSCAPE_ZONE_UPLINK_DESCRIPTION,"A satellite uplink will double the influence range of the haven, and detect Pandoran bases, allowing New Jericho to take the battle to the enemy.","Un relais satellite permettra de doubler le champ d'influence du refuge et de détecter les bases pandoriennes, permettant à la Nouvelle-Jéricho d'attaquer ses ennemis."
KEY_GEOSCAPE_ZONE_UPLINK_NAME,SATELLITE UPLINK,RELAIS SATELLITE
KEY_HAVEN_COVERED,COVERED,COUVERT
KEY_HAVEN_FOOD_SUPPLY,FOOD SUPPLY,APPROVISIONNEMENT ALIMENTAIRE
