Key,English,French
KEY_LORE_DESC_BIG_EGG,"The attack on Halpine-Mcallister oil rig Echo Gamma 18 occured in 2027. It was the first recorded major incursion by humanoid creatures from the sea. Video footage from the attack was streamed across the internet, resulting in a mass panic in the news media and the public at large. The recorded footage, taken from a helicopter flying near the rig, shows swarms of creatures climbing onto the platform and fighting with the personnel onboard, overpowering them. Later, a huge claw grapples part of the structure, tearing it off, leaving the remains broken and fatally damaged.","L'attaque de la plate-forme pétrolière Echo Gamma 18 de Halpine-Mcallister survint en 2027 et fut la première incursion majeure filmée de créatures vaguement humanoïdes venant de la mer. La vidéo de cette attaque se répandit sur la toile, provoquant une crise de panique générale des médias et du public dans leur ensemble. La vidéo, filmée depuis un hélicoptère survolant la plate-forme, montre des nuées de créatures grimpant le long de la plate-forme et luttant contre l'équipage à son bord jusqu'à les submerger. Plus tard, une immense griffe s'empare d'une partie de la structure, la réduisant en morceaux irrécupérables."
KEY_LORE_DESC_FORSAKEN,"For decades Disciples of Anu had practised the exiling, or outcasting, of their members that were too weak to withstand the mutation gifts they acquired. According to preliminary reports, ninety percent of them would die within a few weeks. With time, tho, the survivors slowly grouped together forming bandit squads that would roam the world looking for food and resources.

Completely mutated, and with no loyalty to the Exalted or anyone else, these outcasts banded together in their mind breaking dreams. They appear to lack any hierarchy or command structure, yet are able to organize themselves to attack small targets. Lately, their attacks have become bolder and better planned, as if they are somehow linked to each other. 

At present the outcast’s threat level remains low.","Pendant des dizaines d'années, les Disciples d'Anu ont pratiqué l'exil ou l'exclusion des membres qui étaient trop faibles pour supporter les mutations qu'ils avaient acquises. Selon les premiers rapports, quatre-vingt-dix pour cent d'entre eux seraient morts au bout de quelques semaines. Mais, avec le temps, les survivants ont commencé à se regrouper pour former des groupes de bandits qui parcourent le monde en quête de vivres et de ressources.
 
Des mutants complets, et sans sentiment de loyauté envers l'Exaltée ou autre, ces parias se sont retrouvés dans leurs fantasmes démentiels. Ils semblent n'avoir ni hiérarchie ni structure de commandes, mais ils sont pourtant capables de s'organiser pour attaquer de petites cibles. Récemment, leurs attaques sont plus téméraires et mieux planifiées, comme s'ils étaient inexplicablement reliés les uns aux autres.
 
À l'heure actuelle, la menace des parias reste faible."
KEY_LORE_DESC_MIST,"When was later referred to as the First Mist appeared over the ocean in 2029, it was mistaken for an unusual weather phenomenon caused by global warming. Only when people who were exposed to it started changing and walking off into the sea did the true scale of the threat become apparent. By 2032, when the First Mist retreated, billions had died or vanished.

In 2040, the Second Mist appeared, forcing people to abandon the remaining cities. It affected vegetation and animals as well as humans, beginning a process of radical ecosystem change that is still ongoing. The Second Mist retreated in 2043. The only remaining humans now lived in isolated communities that became known as Havens.

The first rumors of a Third Mist began in 2046.","Lorsque la catastrophe qui serait ultérieurement connue sous le nom de Première Brume apparut dans les océans en 2029, on la prit à tort pour une conséquence météorologique inhabituelle du réchauffement climatique. Ce n'est que lorsque les individus exposés à ses effets commencèrent à muter et à se diriger vers les mers que l'ampleur de la menace devint évidente. En 2032, lorsque la Première Brume finit par se retirer, les morts et les disparus se comptèrent par milliards.

En 2040, la Seconde Brume apparut, forçant l'humanité à abandonner les cités encore debout. Elle affecta aussi bien la flore et la faune que les humains, entamant un processus radical de métamorphose de l'écosystème qui n'est toujours pas terminé de nos jours. La Seconde Brume disparut en 2043. Les seuls humains restants vivent désormais dans les communautés isolées répondant au noms de Refuges.

On commença à parler d'une Troisième Brume à partir de 2046."
KEY_LORE_DESC_PHOENIX_GROUP,This organisation was the forerunner to the Phoenix Project and was founded in 1936. Randolph Symes - great grandfather of Ranndolph Symes III was a member. The organisation dedicated itself to tracking down rumours and mythology of an ancient civilisation and a terrible enemy that they would defend the world against. Many members believed in random popular conspiracy theories and supernatural mysticism that was popular at the time.,"Cette organisation était le précurseur du Projet Phoenix et a été fondée en 1936. Randolph Symes, l'arrière-grand-père de Randolph Symes III était l'un de ses membres. L'organisation avait pour but de traquer les rumeurs et la mythologie autour d'une antique civilisation et d'un terrible ennemi contre lequel elle devrait protéger le monde. De nombreux membres adhéraient aux théories conspirationnistes populaires et au mysticisme surnaturel de cette époque."
KEY_LORE_DESC_PHOENIX_PROJECT,"The Phoenix Project is an independent global scientific organization, formerly a secret branch of the United Nations, dedicated to studying threats to humankind. It was founded in 1945, but was preceded by a number of other organizations, such as the Committee for the Study and Prevention of Species-Level Threats (Soviet Union, 1918-1927) and the Phoenix Working Group (United States, 1935-1945). It also shares its symbol with similar groups dedicated to fighting for humanity going back all the way to the 9th century, but is not strictly speaking a continuation of those groups, except in so far as each generation picks up the torch and continues the struggle.

The golden age of the Phoenix Project ended in 1973 with the disastrous Phoenix-2 mission to study the Tsiolkovskiy crater on the Moon, after which the Project entered a period of slow decline. After its existence was revealed to the media and all funding was finally cut, the Phoenix Project was forced to become independent, with most of its operatives acting as sleeper agents.

The best-known individuals associated with the Phoenix Project are Randolph Symes Sr. (Director, 1945-1955), Newton Sumrall (Director, 1960-1968, Administrator, 1968-1974), Irina Semionova (Administrator, 1960-1968) and Randolph Symes III (Director, 2025-2047).","Le Projet Phoenix est une organisation scientifique indépendante, qui appartenait autrefois secrètement aux Nations Unies et dont le but ultime est d'étudier toutes les menaces pour l'humanité. Il fut fondé en 1945, mais a succédé à un nombre incalculable d'organisations similaires, comme le Comité d'étude et de prévention des menaces à l'espèce humaine (Union Soviétique, 1918-1927) et le groupe de travail Phoenix (États-Unis, 1935-1945). Il partage également son symbole avec différents groupes créés pour défendre l'humanité remontant jusqu'au IXe siècle, mais n'est pas à proprement parler la continuation de ces groupes, en dehors du fait qu'il a repris le flambeau pour défendre les mêmes idéaux.

L'âge d'or du Projet Phoenix s'acheva en 1973 après la tentative d'étude du cratère Tsiolkovskiy sur la lune de Phoenix-2 qui se solda par un désastreux échec et qui marqua le début d'une longue période de déclin. Après que son existence fut rendue publique par les médias et la fin de toute subvention, le Projet Phoenix dut devenir indépendant, et la plupart de ses agents passèrent pour des agents dormants.

Les individus les plus célèbres pouvant être associés au Projet Phoenix sont Randolph Symes Sr. (Directeur de 1945 à 1955), Newton Sumrall (Directeur de 1960 à 1968 et administrateur de 1968 à 1974), Irina Semionova (administratrice de 1960 à 1968) et Randolph Symes II (Directeur de 2025 à 2047)."
KEY_LORE_DESC_PURE,"The renegade faction known as ""The Pure"" appeared in 2045 after a group of experimental subjects escaped from a New Jericho cybernetics program. The program was being shut down at the time, and its apparent failure covered up. Acting as a nomad paramilitary organisation, The Pure are cyborgs - as close to a machine as a human can get. They share the belief that anyone that has exposed flesh could be infected, and is thus “impure”. While there are many instances of them attacking scavenging sites or convoys world wide, none of their strongholds have been located so far.

According to the individual known as Subject 24, they are the result of advanced cybernetic New Jericho experiments that somehow went wrong. In particular, the mental state of subjects in the program suffered from the transition they had to endure to become cyborgs.
","La faction rebelle connue comme « les Purs » est apparue en 2045 après l'évasion de sujets d'un groupe expérimental d'un programme cybernétique de la Nouvelle-Jéricho. Le programme a été démantelé à l'époque et son échec apparent a été couvert. Agissant comme une organisation paramilitaire nomade, les Purs sont des cyborgs, le plus proche d'un ordinateur possible pour un humain. Ils sont convaincus que quiconque doté de chair exposée pourrait être infecté et est donc « impur ». De nombreux cas d'attaques de sites de ressources ou de convois ont été signalés dans le monde entier, mais on n'a jamais pu trouver leurs bastions jusqu'à présent.
 
D'après un individu connu comme Sujet 24, les cyborgs sont le résultat d'expériences avancées de cybernétique de la Nouvelle-Jéricho qui ont mal tourné. L'état mental des sujets en particulier a souffert de la transition qu'ils ont dû endurer pour devenir des cyborgs."
KEY_LORE_DESC_SUBJECT24,"Little is known about the individual calling himself Subject 24. According to his own words he was involved in New Jericho’s cybernetic program ""Project Purity"", and later became the leader of The Pure faction. Classified records confirm the existence of a Major Zachery Richards who indeed worked for Tobias West, although he was marked as having died in a work accident. Any further information has been redacted and unavailable.

Supplementary: a behavior analysis has received with 89% certainty that Subject 24 is as resentful of the Phoenix Project as he is of New Jericho. There is a possibility for him to have been involved with the organisation at some point in the past. ","On en sait peu sur l'individu qui se fait appeler Sujet 24. Selon ses propos, il a participé au programme cybernétique de la Nouvelle-Jéricho, le « Projet Pureté », et serait plus tard devenu le chef de la faction Les Purs. Des dossiers classifiés confirment l'existence d'un général Zachery Richards qui était en effet au service de Tobias West, bien qu'il ait été enregistré comme ayant trouvé la mort dans un accident de travail. Le reste des informations ont été censurées et ne sont pas disponibles.
 
Informations complémentaires : une analyse comportementale a indiqué une certitude à 89 % que Sujet 24 en veut autant au Projet Phoenix qu'à la Nouvelle-Jéricho. Il est possible qu'il ait été impliqué dans l'organisation à un moment donné dans le passé."
KEY_LORE_DESC_UTOPIAN,"Founded in 2031 by George William Haymer, this organisation promised deliverance for a select set of chosen few. As the United States of America fell apart, Haymer sent out letters promising to deliver people to a new Eden and asking them to leave their homes to join him in an exodus. No-one knows what happened to those that followed him.","Fondée en 2031 par George William Haymer, cette organisation promit la libération d'un petit groupe d'élus. Lors de la chute des États-Unis d'Amérique, Haymer envoya aux gens une série de lettres leur promettant de les amener vers un nouvel Éden et leur demandant de quitter leurs foyers pour le rejoindre dans son exode. Nul ne sait ce qu'il advint de ceux qui acceptèrent de le suivre."
KEY_LORE_DESC_WW3,"World War III was a global conflict engendered by the total collapse of the world economy due to the Pandoravirus in 2030. Lasting until 2035, it devastated large parts of the planet and caused tens of millions of deaths. Large nations fractured, democratic governments became increasingly authoritarian, and coordinated action against the Pandoran threat became a secondary issue. Nuclear war was only averted by the intervention of the Phoenix Project.","La Troisième Guerre mondiale fut un conflit généralisé causé par l'effondrement total de l'économie mondiale à la suite du Pandoravirus en 2030. Elle dura jusqu'en 2035, dévastant la majeure partie de la planète et causant des dizaines de millions de morts. D'importantes nations volèrent en éclats, des gouvernements démocratiques devinrent de plus en plus autoritaires, et une action concertée contre la menace des Pandoriens devint peu à peu secondaire. Une guerre nucléaire fut évitée de justesse par l'intervention du Projet Phoenix."
KEY_LORE_TITLE_BIG_EGG,The Big Egg Incident,L'Incident Du Gros Œuf
