Key,English,French
MISC_01_CHOICE_0_OUTCOME_GENERAL,Check for new unexplored sites in the geoscape display.,Vérifiez s'il y a de nouveaux sites inexplorés sur l'écran du Geoscape.
MISC_01_CHOICE_0_TEXT,This is good news,C'est une bonne nouvelle.
MISC_01_TEXT_GENERAL_0,Atmospheric analysis improvements have revealed overgrown sites which may be more rewarding than anything we have encountered so far.,Les améliorations apportées à l'analyse atmosphérique ont révélé des sites infestés qui pourraient rapporter plus de ressources que tout ce que nous avons trouvé jusqu'à présent.
MISC_01_TITLE,New Scavenging Sites Uncovered,Nouveaux sites de ressources découverts
MISC_02_CHOICE_0_TEXT,Sad.,Triste.
MISC_02_CHOICE_1_TEXT,Cry.,Pleurs.
MISC_02_TEXT_GENERAL_0,Yup... really sad event.,Ouaip... un événement vraiment triste.
MISC_02_TITLE,The behemoth destroyed haven,Le Béhémoth a détruit le port
MISC_03_CHOICE_0_TEXT,Cool!,Génial !
MISC_03_TEXT_GENERAL_0,The behemoth will be spawned after this event.,Le Béhémoth sera créés après cet événement.
MISC_03_TITLE,SPAWN THE BEHEMOTH!,CRÉATION DU BÉHÉMOTH!
MISC_04_CHOICE_0_TEXT,Cool!,Génial !
MISC_04_TEXT_GENERAL_0,"Great huh, it seems this is working.","Super hein, on dirait que ça marche."
MISC_04_TITLE,Time passed since start of the game 5h,Temps écoulé depuis le début du jeu 5h
