Key,English,French
KEY_DEFEAT_ALL_ENEMIES,#Defeat all enemies,#Éliminer tous les ennemis
KEY_OBJECTIVES,OBJECTIVES,OBJECTIFS
KEY_OBJECTIVE_ACCEPTED_MISSION,ONGOING,EN COURS
KEY_OBJECTIVE_BEACONITEM,Beacon,Balise
KEY_OBJECTIVE_BUILD_CONTAINMENT,Build a containment facility in your base,Construire une unité de confinement
KEY_OBJECTIVE_COMPLETED,COMPLETED,TERMINÉ
KEY_OBJECTIVE_DESTROY_STRUCTURES,KEY STRUCTURE DAMAGE: {0} %,DÉGÂTS DE STRUCTURE CLÉ : {0} %
KEY_OBJECTIVE_ESCORT,ESCORT TO SAFETY: {0},ESCORTER VERS UNE ZONE SÛRE : {0}
KEY_OBJECTIVE_EVACUATE,EVACUATE AREA [{0}/{1}],ÉVACUER LA ZONE [{0}/{1}]
KEY_OBJECTIVE_EVAC_ALL,EVACUATE ALL PHOENIX OPERATIVES,ÉVACUER TOUS LES AGENTS PHOENIX
KEY_OBJECTIVE_FAILED,FAILED,ÉCHEC
KEY_OBJECTIVE_FIND_BASE,Find Phoenix Base: {0},Trouver la base Phoenix : {0}
KEY_OBJECTIVE_FIREBIRD,OBTAIN THE FIREBIRD INITIATIVE FILES,OBTENIR LES FICHIERS DU PROJET FIREBIRD
KEY_OBJECTIVE_FIREBIRD_TAKE,OBTAIN THE FIREBIRD INITIATIVE FILES [{0}/{1}],TROUVEZ LES FICHIERS SUR L'INITIATIVE OISEAU DE FEU [{0}/{1}]
KEY_OBJECTIVE_GATEKEEPER,KILL THE GATEKEEPERS,TUER LES GARDIENS DES PORTES
KEY_OBJECTIVE_GEOSCAPE_ATMOSPHERIC_ANALYSIS,Start the Atmospheric Analysis research project,Commencer le projet de recherche sur l'Analyse atmosphérique
KEY_OBJECTIVE_GEOSCAPE_ENTER_BASE,Enter Bases Tab,Ouvrir l'onglet Bases
KEY_OBJECTIVE_GEOSCAPE_EQUIPMENT,Go to Personnel Equipment screen,Aller sur l'écran Équipement du personnel
KEY_OBJECTIVE_GEOSCAPE_EXPLORE,Explore site,Explorer le site
KEY_OBJECTIVE_GEOSCAPE_GO_TO_SITE,Go to unexplored site,Aller sur le site inexploré
KEY_OBJECTIVE_GEOSCAPE_GRENADE,Manufacture a medkit,Fabriquer un médikit.
KEY_OBJECTIVE_GEOSCAPE_MANUFACTURING,Enter Manufacturing Tab,Ouvrir l'onglet Fabrication
KEY_OBJECTIVE_GEOSCAPE_REPAIR_BAY,Repair Vehicle Bay,Réparer le garage
KEY_OBJECTIVE_GEOSCAPE_RESEARCH,Enter Research Tab,Ouvrir l'onglet Recherches
KEY_OBJECTIVE_GEOSCAPE_RETURN_TO_BASE,Return to Base,Retourner à la base
KEY_OBJECTIVE_GEOSCAPE_SCAN_AREA,Scan Area,Balayer la zone
KEY_OBJECTIVE_GEOSCAPE_TRAINING,Go to Personnel Training screen,Aller sur l'écran Entraînement du personnel
KEY_OBJECTIVE_INJECTORITEM,Virophage Injector,Injecteur de virophages
KEY_OBJECTIVE_INTERACT_CONSOLE,INTERACT WITH CONSOLE [{0}/{1}],INTERAGIR AVEC UNE CONSOLE [{0}/{1}]
KEY_OBJECTIVE_KILL_AN0,DESTROY THE SOURCE OF THE INFESTATION,DÉTRUIRE LA SOURCE DE L'INFESTATION
KEY_OBJECTIVE_KILL_ENEMIES,KILL ALL ENEMIES,ÉLIMINER TOUS LES ENNEMIS
KEY_OBJECTIVE_KILL_HATCHERY,DESTROY ALL HATCHING SENTINELS,DÉTRUIRE LES SENTINELLES COUVEUSES
KEY_OBJECTIVE_KILL_QUEEN,DEFEAT THE SCYLLA,ÉLIMINER LA SCYLLA
KEY_OBJECTIVE_KILL_SPAWNERY,DESTROY THE SPAWNERY,ÉLIMINER L'ÉCLOSERIE
KEY_OBJECTIVE_KILL_TARGET,KILL {0},ÉLIMINER {0}
KEY_OBJECTIVE_PHOENIXBASE_NAME_1,Southern Europe,Europe du Sud
KEY_OBJECTIVE_PHOENIXBASE_NAME_10,Central America,Amérique centrale
KEY_OBJECTIVE_PHOENIXBASE_NAME_11,The Caribbean,Caraïbes
KEY_OBJECTIVE_PHOENIXBASE_NAME_12,South America,Amérique du Sud
KEY_OBJECTIVE_PHOENIXBASE_NAME_13,South America,Amérique du Sud
KEY_OBJECTIVE_PHOENIXBASE_NAME_14,South America,Amérique du Sud
KEY_OBJECTIVE_PHOENIXBASE_NAME_15,West Africa,Afrique de l'Ouest
KEY_OBJECTIVE_PHOENIXBASE_NAME_16,Central Africa,Afrique centrale
KEY_OBJECTIVE_PHOENIXBASE_NAME_17,Southern Africa,Afrique du Sud
KEY_OBJECTIVE_PHOENIXBASE_NAME_18,Australia,Australie
KEY_OBJECTIVE_PHOENIXBASE_NAME_19,Arctic,Arctique
KEY_OBJECTIVE_PHOENIXBASE_NAME_2,Western Asia,Asie de l'Ouest
KEY_OBJECTIVE_PHOENIXBASE_NAME_20,Arctic,Arctique
KEY_OBJECTIVE_PHOENIXBASE_NAME_21,Siberia,Sibérie
KEY_OBJECTIVE_PHOENIXBASE_NAME_22,Western Europe,Europe de l'Ouest
KEY_OBJECTIVE_PHOENIXBASE_NAME_3,Southern Asia,Asie du Sud
KEY_OBJECTIVE_PHOENIXBASE_NAME_4,Eastern Asia,Asie de l'Est
KEY_OBJECTIVE_PHOENIXBASE_NAME_5,Eastern Asia,Asie de l'Est
KEY_OBJECTIVE_PHOENIXBASE_NAME_6,Southern Asia,Asie du Sud
KEY_OBJECTIVE_PHOENIXBASE_NAME_7,North America,Amérique du Nord
KEY_OBJECTIVE_PHOENIXBASE_NAME_8,North America,Amérique du Nord
KEY_OBJECTIVE_PHOENIXBASE_NAME_9,North America,Amérique du Nord
KEY_OBJECTIVE_PLACE_INJECTOR,PLACE INJECTOR,PLACER L'INJECTEUR
KEY_OBJECTIVE_PLANT,PLANT THE MODIFIED SEEDS [{0}/{1}],PLANTER LES GRAINES MODIFIÉES [{0}/{1}]
KEY_OBJECTIVE_PLANT_NOCOUNT,PLANT THE MODIFIED SEEDS,PLANTER LES GRAINES MODIFIÉES
KEY_OBJECTIVE_PROTECT_AIRCRAFT,PROTECT THE AIRCRAFT,PROTÉGER LE VAISSEAU
KEY_OBJECTIVE_PROTECT_CIVILIANS,PROTECT ALL CIVILIANS [{0}/{1}],PROTÉGER TOUS LES CIVILS [{0}/{1}]
KEY_OBJECTIVE_PROTECT_CRATES,CRATES PROTECTED [{0}/{1}],CAISSES PROTÉGÉES [{0}/{1}]
KEY_OBJECTIVE_PROTECT_MOON,PROTECT THE MOON LAUNCH SITE,PROTÉGER LE SITE DE DÉCOLLAGE LUNAIRE
KEY_OBJECTIVE_PROTECT_STRUCTURES,PROTECT ALL KEY STRUCTURES {0} %,PROTÉGER TOUTES LES STRUCTURES CLÉS {0} %
KEY_OBJECTIVE_PROTOTEMPLE,RETRIEVE EVIDENCE OF THE ANTEDILUVIAN CIVILIZATION [{0}/{1}],RÉCUPÉRER DES PREUVES DE LA CIVILISATION ANTÉDILUVIENNE [{0}/{1}]
KEY_OBJECTIVE_REPETITIVE_AN,Sabotage Disciples of Anu Haven. Target: {0},Saboter un refuge des Disciples d'Anu. Cible : {0}
KEY_OBJECTIVE_REPETITIVE_NJ,Sabotage New Jericho Haven. Target: {0},Saboter un refuge de la Nouvelle-Jéricho. Cible : {0}
KEY_OBJECTIVE_REPETITIVE_SY,Sabotage Synedrion Haven. Target: {0},Saboter un refuge du Synédrion. Cible : {0}
KEY_OBJECTIVE_RETIREVE,RETRIEVE OBJECT [{0}/{1}],RÉCUPÉRER L'OBJET [{0}/{1}]
KEY_OBJECTIVE_RETIREVE_NOCOUNT,RETRIEVE OBJECT,RETROUVER L'OBJET
KEY_OBJECTIVE_SAVE_CIVILIANS,CIVILIANS ALIVE [{0}/{1}],CIVILS EN VIE [{0}/{1}]
KEY_OBJECTIVE_SAVE_STRUCTURES,KEY STRUCTURES PROTECTED {0} %,STRUCTURES CLÉS PROTÉGÉES {0} %
KEY_OBJECTIVE_SCAN_AREA,SCAN AREA  [{0}/{1}],BALAYER LA ZONE [{0}/{1}]
KEY_OBJECTIVE_SCARABAI,SECURE THE SCARAB AI,SÉCURISER L'IA DU SCARABÉE
KEY_OBJECTIVE_SECURE_AIRCRAFT,SECURE ACCESS TO THE AIRCRAFT,SÉCURISER L'ACCÈS AU VAISSEAU
KEY_OBJECTIVE_SECURE_AREA,SECURE AREA,SÉCURISER LA ZONE
KEY_OBJECTIVE_SECURE_CRYOLAB,SECURE THE CRYOLAB,SÉCURISER LE LABORATOIRE CRYOGÉNIQUE
KEY_OBJECTIVE_SECURE_CRYOLAB_TAKE,OBTAIN THE RESEARCH DATA [{0}/{1}],OBTENIR LES DONNÉES DE RECHERCHE [{0}/{1}]
KEY_OBJECTIVE_STEAL_AIRCRAFT,STEAL AIRCRAFT. TURNS REMAINING: {0},VOLER UN VAISSEAU. TOURS RESTANTS : {0}
KEY_OBJECTIVE_STEAL_RESEARCH,STEAL RESEARCH [{0}/{1}],VOLER LES RECHERCHES [{0}/{1}]
KEY_OBJECTIVE_SURVIVE,SURVIVE {0} TURNS,SURVIVRE PENDANT {0} TOURS
KEY_OBJECTIVE_SURVIVE_DONE,SURVIVED AMBUSH,EMBUSCADE SURVÉCUE
KEY_OBJECTIVE_SYMES,SECURE SYMES' RETREAT,SÉCURISER L'ABRI SYMES
KEY_OBJECTIVE_SYMES_TAKE,OBTAIN SYMES' JOURNAL [{0}/{1}],OBTENIR LE JOURNAL DE SYMES [{0}/{1}]
KEY_OBJECTIVE_TUTORIAL1_CAMERA,ROTATE CAMERA,PIVOTER LA CAMÉRA
KEY_OBJECTIVE_TUTORIAL1_MOVE,MOVE TO LOCATION,ALLER VERS L'EMPLACEMENT
KEY_OBJECTIVE_TUTORIAL1_SELECT,SELECT UNIT,SÉLECTIONNER L'UNITÉ
KEY_OBJECTIVE_TUTORIAL1_SHOOT_FREE_AIM,SHOOT ENEMY IN FREE AIM,TIRER SUR L'ENNEMI EN VISÉE LIBRE
KEY_OBJECTIVE_TUTORIAL1_SHOOT_STANDARD,SHOOT ENEMY,TIRER SUR L'ENNEMI
KEY_OBJECTIVE_TUTORIAL1_STANDBY,ENTER STANDBY STATE,PASSER EN MODE STAND-BY
KEY_OBJECTIVE_TUTORIAL1_TURN,END YOUR TURN,TERMINER VOTRE TOUR
KEY_OBJECTIVE_TUTORIAL1_VEHICLE,LOCATE VEHICLE,LOCALISER LE VÉHICULE
KEY_OBJECTIVE_TUTORIAL2_CHARACTER_INFO,OPEN CHARACTER INFO SCREEN,OUVRIR L'ÉCRAN D'INFORMATION DU PERSONNAGE
KEY_OBJECTIVE_TUTORIAL2_GO_CRATE,MOVE TO EQUIPMENT CRATE,SE DÉPLACER VERS LA CAISSE D'ÉQUIPEMENT
KEY_OBJECTIVE_TUTORIAL2_HEAL,HEAL SOLDIER,SOIGNER LE SOLDAT
KEY_OBJECTIVE_TUTORIAL2_INVENTORY,OPEN SOLDIER INVENTORY,OUVRIR L'INVENTAIRE DU SOLDAT
KEY_OBJECTIVE_TUTORIAL2_JET_JUMP,USE JET JUMP,UTILISER LA PROPULSION
KEY_OBJECTIVE_TUTORIAL2_OVERWATCH,USE OVERWATCH,UTILISER LA VIGILANCE
KEY_OBJECTIVE_TUTORIAL2_RESCUE,RESCUE ALLY,VENIR EN AIDE À L'ALLIÉ
KEY_OBJECTIVE_TUTORIAL2_SELECT_GRENADE,SELECT GRENADE,SÉLECTIONNER UNE GRENADE
KEY_OBJECTIVE_TUTORIAL2_SELECT_MEDKIT,SELECT MEDKIT,SÉLECTIONNER UN MÉDIKIT
KEY_OBJECTIVE_TUTORIAL2_THROW_GRENADE,THROW GRENADE,LANCER LA GRENADE
KEY_OBJECTIVE_YUGG,DEFEAT THE YUGGOTHIAN RECEPTACLE,ÉLIMINEZ LE RÉCEPTACLE YUGGOTHIEN
KEY_OBJECTIVE_YUGG_EXALTED,MERGE THE EXALTED WITH THE DEFEATED YUGGOTHIAN RECEPTACLE,FUSIONNER L'EXALTÉE AVEC LE RÉCEPTACLE YUGGOTHIEN VAINCU
KEY_OBJECTIVE_YUGG_INJECTOR,DEPLOY THE INJECTOR OVER THE DEFEATED YUGGOTHIAN RECEPTACLE,DÉPLOYER L'INJECTEUR SUR LE RÉCEPTACLE YUGGOTHIEN VAINCU
KEY_OBJECTIVE_YUGG_NUKE,DEPLOY THE BEACON OVER THE DEFEATED YUGGOTHIAN RECEPTACLE,DÉPLOYER LA BALISE SUR LE RÉCEPTACLE YUGGOTHIEN VAINCU
KEY_OBJECTIVE_YUGG_TAKEBEACON,TAKE THE BEACON,PRENDRE LA BALISE
KEY_OBJECTIVE_YUGG_TAKEINJECTOR,TAKE THE INJECTOR,PRENDRE L'INJECTEUR
