Key,English,French
KEY_ACTOR_CYCLE_NEXT_TT,Next soldier,Soldat suivant
KEY_ACTOR_CYCLE_PREV_TT,Previous soldier,Soldat précédent
KEY_AIRCRAFT_COUNT_TT,AIRCRAFT - owned / limit from available vehicle bays,VAISSEAUX - possédés/limite des garages disponibles
KEY_ATTACHMENT_LOCKED,#NOT AVAILABLE,#NOT AVAILABLE
KEY_BACK,Back,Retour
KEY_BAVE,NEEDS TEXT,NEEDS TEXT
KEY_CANCEL,CANCEL,ANNULER
KEY_CONTAINED_ALIENS_COUNT_TT,Captured Pandorans - used space / capacity of all alien containment facilities,Pandoriens capturés - espace utilisé/capacité de tous les centres de confinement extraterrestres
KEY_DAMAGE_TYPE,DAMAGE TYPE,TYPE DE DÉGÂTS
KEY_DEPLOYMENT_CHECKBOX_TT,Select this soldier for deployment,Sélectionnez ce soldat pour le déploiement
KEY_DIPLOMACY_HAVENS_COUNT_TT,Number of havens controlled by this faction,Nombre de refuges contrôlés par cette faction
KEY_DIPLOMACY_LEADER_NAME_TT,Leader name,Nom du chef
KEY_DIPLOMACY_POPULATION_TT,Total population of all faction havens,Population totale des refuges de toutes les factions
KEY_DUMMY,#Dummy,#Dummy
KEY_ENABLED,#ENABLED,#ENABLED
KEY_ENVIRONMENT,#ENVIRONMENT,#ENVIRONMENT
KEY_EQUIPMENT_ARMOUR_TT,Equipped armour,Armure équipée
KEY_EQUIPMENT_BODY_TT,Items in soldier's backpack,Objets dans le sac à dos du soldat
KEY_EQUIPMENT_READY_TT,Equipped items,Objets équipés
KEY_FOOD_RESOURCE_TT,FOOD - Resource for feeding and hiring soldiers,VIVRES - ressource pour nourrir et recruter des soldats
KEY_GEOSCAPE_NO_PRODUCTION,NO ITEMS AVAILABLE,AUCUN OBJET DISPONIBLE
KEY_GEOSCAPE_NO_RESOURCES,NOT ENOUGH RESOURCES,RESSOURCES INSUFFISANTES
KEY_GEOSCAPE_PRODUCED,TOTAL PRODUCED,PRODUCTION TOTALE
KEY_GEOSCAPE_SALVAGE,RECLAIM,RÉCUPÉRER
KEY_HAVEN_MIST_STATUS_TT,Increased starvation rate and high risk of Pandoran attack,Taux de famine accru et risque élevé d'attaque pandorienne
KEY_HAVEN_RECRUIT_BUTTON_TT,Recruit this soldier,Recruter ce soldat
KEY_HAVEN_START_MISSION_TT,Start the mission in this haven,Commencer la mission dans ce refuge
KEY_HAVEN_TRADE_BUTTON_TT,Trade for the selected resource,Échanger contre la ressource choisie
KEY_HEALTH,HIT POINTS,SANTÉ
KEY_HIT_POINTS,Hit Points:,Points de vie :
KEY_INSUFFICIENT_AMMO,Insufficient ammuntion to replenish squad,Munitions insuffisantes pour réapprovisionner l'escouade
KEY_INVENTORY_ACTIONCOST_NONE,No Action Point cost,Aucun coût de point d'action
