Key,English,French
KEY_STEAM_HOME_EXTRA_CONTENT_NAME,USE PROMOTIONAL SKINS,UTILISER DES SKINS PROMOTIONNELS
KEY_STEAM_HOME_NOTIFICATION_KEY_ALREADY_PRESENT,Code {0} was already redeemed!,Code {0} déjà utilisé !
KEY_STEAM_HOME_NOTIFICATION_KEY_INVALID,Code {0} is not valid!,Code {0} non valide !
KEY_STEAM_HOME_NOTIFICATION_KEY_REDEEMED,Code {0} successfully redeemed!,Code {0} utilisé avec succès !
KEY_STEAM_HOME_PROMPT_KEY_REDEEM,Please input key to redeem,Veuillez saisir un code à utiliser
KEY_STEAM_HOME_SOCIAL_DISCORD,Join our Discord Server,Rejoignez notre serveur Discord
KEY_STEAM_HOME_SOCIAL_FB,Official Facebook Page,Page Facebook officielle
KEY_STEAM_HOME_SOCIAL_REDEEM_ICON,Redeem codes for extra content,Utiliser des codes pour plus de contenu
KEY_STEAM_HOME_SOCIAL_REFERAFRIEND,Refer a Friend,Parrainer un ami
KEY_STEAM_HOME_SOCIAL_SUBSCRIBE,Subscribe to our Newsletter,Inscrivez-vous à notre newsletter
KEY_STEAM_HOME_SOCIAL_TWITTER,Official Twitter Page,Page Twitter officielle
KEY_STEAM_HOME_SOCIAL_WIKI,Official Wiki Page,Page Wiki officielle
