Key,English,French
ANU_WAR_NJ_CHOICE_0_TEXT,OK.,OK.
ANU_WAR_NJ_TEXT_GENERAL_0,"MESSAGE
FROM: Blind Legate (Anu)
TO: Public

The old world is gone, and yet it haunts us. There are those who dream of taking us back to those dark days before the flood, when greed ruled and change seemed impossible. Sins and lies are difficult to kill, but kill them we shall, with the blessing of the Dead God. New Jericho will fall, and the faithful will rejoice.","MESSAGE
DE : Légat aveugle (Anu)
À : Public

L'ancien monde a disparu, et pourtant, il continue de nous hanter. Certains rêvent de revenir à ces jours sombres avant le Déluge, lorsque l'avidité régnait et que le changement semblait impossible. Les péchés et les mensonges sont difficiles à éliminer, mais les éliminer, nous le devons, avec la bénédiction du Dieu défunt. La Nouvelle-Jéricho s'effondrera et les fidèles triompheront."
ANU_WAR_NJ_TITLE,Ghost War,Guerre fantôme
ANU_WAR_PX_CHOICE_0_TEXT,OK.,OK.
ANU_WAR_PX_TEXT_GENERAL_0,"MESSAGE
FROM: Synod of Yearning (Anu)
TO: Public

The Phoenix Project. Yes. Disease in the human body. Yes. Heal it. Yes. Make it stop. Make it die. Yes. It is time.","MESSAGE
DE : Synode de l'appétence (Anu)
À : Public

Le Projet Phoenix. Oui. La maladie dans le corps humain. Oui. La soigner. Oui. Il faut l'arrêter. Il faut l'éliminer. Oui. C'est le moment."
ANU_WAR_PX_TITLE,Crusade,Croisade
ANU_WAR_SYN_CHOICE_0_TEXT,OK.,OK.
ANU_WAR_SYN_TEXT_GENERAL_0,"MESSAGE
FROM: Taxiarch Nergal (Anu)
TO: Public

We're declaring war on Synedrion. Why? They have no idea what they're doing. Their childish utopian fantasies will lead humanity to its destruction. And honestly, somebody has to put an end to their perpetual whining.

If any of you Synedrion people were planning on having a sudden epiphany and converting to a better faith, now's the moment.","MESSAGE
DE : Taxiarque Nergal (Anu)
À : Public

Nous déclarons la guerre au Synédrion. Pourquoi ? Ils n'a pas la moindre idée de ce qu'il fait. Ses fantasmes utopiques enfantins vont mener à la destruction de l'humanité. Et franchement, quelqu'un se doit de mettre un terme à ses jérémiades.

Si certains d'entre vous, adeptes du Synédrion, avaient une épiphanie et souhaitaient se reconvertir à une meilleure foi, c'est le moment."
ANU_WAR_SYN_TITLE,False Prophets,Faux prophètes
Flav_NJ3_CHOICE_0_OUTCOME_GENERAL,"MESSAGE
FROM: Sophia Villanova (New Jericho)
TO: Phoenix Project

Remarkable... it looks like Chaudri helped your operatives prevent World War III from going nuclear. What an accomplishment! Perhaps I have been too dismissive of the man, treating him as no more than a source of information. How can he trust us if we don't respect him? I'll have to try a different approach.","MESSAGE
DE : Sophia Villanova (Nouvelle-Jéricho)
À : Projet Phoenix

Formidable... on dirait que Chaudri a aidé vos agents à empêcher que la Troisième Guerre mondiale ne se change en guerre nucléaire. C'est un véritable exploit ! J'ai sous-estimé cet homme et n'ai vu en lui qu'une source d'information. Comment peut-il nous faire confiance si nous ne lui montrons aucun respect ? Je tâcherai de changer de méthode."
Flav_NJ3_CHOICE_0_TEXT,"Of course, we're happy to provide you with what records we have.","Bien entendu, nous serions ravis de partager nos données avec vous."
Flav_NJ3_CHOICE_1_OUTCOME_GENERAL,"MESSAGE
FROM: Sophia Villanova (New Jericho)
TO: Phoenix Project

Very well. Privacy is, of course, an important individual right and privilege. I hope our species survives, so we can continue to enjoy such privileges.","MESSAGE
DE : Sophia Villanova (Nouvelle-Jéricho)
À : Projet Phoenix

Très bien. La confidentialité constitue un droit et un privilège importants. Je prie pour que notre espèce survive et que nous puissions continuer de jouir de tels privilèges."
Flav_NJ3_CHOICE_1_TEXT,Data files on Phoenix Project operatives are confidential.,Les informations sur les agents du Projet Phoenix sont confidentielles.
