Key,English,French
SDI_01_CHOICE_0_TEXT,Understood.,Bien compris.
SDI_01_TEXT_GENERAL_0,"One of the last things Dr. Randolph Symes III worked on before leaving Phoenix Point was the Oneiric Delirium Index - an attempt to quantify the unexplained mental influence of the Pandorans. He feared the frequent reports of strange nightmares and hallucinations might be attributable to something more than psychological trauma - perhaps some form of telepathic attack.

Under different circumstances the idea might have seemed fanciful, but even Phoenix Project operatives have reported similar phenomena. We should complete his research.","C'est l'une des dernières choses sur lesquelles le Dr Randolph Symes III a travaillé avant de quitter Phoenix Point. L'Indice de délire onirique était une tentative de quantifier l'influence mentale inexpliquée des Pandoriens. Il craignait que les étranges cauchemars et hallucinations qui ont souvent été rapportés ne soient attribuables à quelque chose d'autre qu'un simple traumatisme psychologique, et qu'il s'agisse plutôt d'une forme d'attaque télépathique. 

Dans d'autres circonstances, l'idée aurait pu paraître fantaisiste, mais des phénomènes similaires ont même été rapportés par des agents du Projet Phoenix. Nous devrions achever ses recherches."
SDI_01_TITLE,The Oneiric Delirium Index,L'Indice de délire onirique
SDI_02_CHOICE_0_OUTCOME_GENERAL,"A medical examination shows nothing wrong with the operative, and the dreams seem to have stopped for now.","Un examen médical montre que l'agent n'a rien, et les rêves semblent avoir pour l'instant disparu."
SDI_02_CHOICE_0_TEXT,Continue.,Continuer.
SDI_02_TEXT_GENERAL_0,"One of our operatives has reported experiencing repeated lucid nightmares of floating up into the sky, helplessly twisting and turning in a nausea-inducing spiral motion that seems to defy the principles of Euclidian space. They always woke up before they could see where they were going, but sensed a frightening presence waiting for them there. 
","Un de nos agents rapporte avoir des cauchemars lucides récurrents durant lesquels il flotte vers le ciel, tout en tourbillonnant de façon désespérée. Il dessine une spirale, envahi par la nausée, selon des mouvements qui semblent défier les principes de l'espace euclidien. L'agent se réveille toujours avant d'avoir pu voir où il allait, mais sent qu'une présence terrifiante l'y attend."
SDI_02_TITLE,Turning and Turning,Tourbillon infernal
SDI_03_CHOICE_0_TEXT,Understood.,Bien compris.
SDI_03_TEXT_GENERAL_0,"Several members of base personnel have been caught sleepwalking and drawing elliptical shapes on the walls in an overlapping, almost hypnotic pattern that induced feelings of anxiety in onlookers. 

On waking, the individuals were confused, but otherwise unaffected. All of them reported dreams of flight.","Plusieurs membres du personnel de la base ont été frappés de somnambulisme et ont été aperçus en train de dessiner des formes elliptiques sur les murs qui se chevauchent de façon quasi-hypnotique. Ces dernières ont suscité de l'anxiété chez les témoins de ce phénomène.

Au réveil, les individus étaient confus, mais pour le reste inchangés."
SDI_03_TITLE,The Widening Gyre,La spirale toujours plus large
