Key,English,French
KEY_ABILITY,ABILITY,CAPACITÉ
KEY_ACCURACY_COLON,ACCURACY:,PRÉCISION :
KEY_ACTION_COST,ACTION POINTS: {0},POINTS D'ACTION : {0}
KEY_ACTION_LEFT,ACTION LEFT,ACTION RESTANTE
KEY_ACTION_POINTS_CLEAN,ACTION POINTS,POINTS D'ACTION
KEY_ARMOR,ARMOR,ARMURE
KEY_ARMOUR,ARMOR:,ARMURE :
KEY_ARMOUR_SHRED_CHANCE,ARMOR SHRED CHANCE: {0}%,CHANCE DE DÉCHIQUETAGE D'ARMURE : {0} %
KEY_ATTACK_NAME,ATTACK,ATTAQUER
KEY_CRATE_SPOTTED,CRATE SPOTTED,CAISSE DÉTECTÉE
KEY_DAMAGE,DAMAGE,DÉGÂTS
KEY_DAMAGED_EQUIPMENT,EQUIPMENT DAMAGED: {0},ÉQUIPEMENT ENDOMMAGÉ : {0}
KEY_DAMAGE_DEALT_ONE,Damage {0},Dégâts {0}
KEY_DAMAGE_DEALT_TWO,Damage {0} - {1},Dégâts {0} - {1}
KEY_DAMAGE_PARAM,DAMAGE: {0},DÉGÂTS : {0}
KEY_DAMAGE_PER_SHOT,Damage per shot:,Dégâts par tir :
KEY_DESTROYED_EQUIPMENT,EQUIPMENT DESTROYED: {0},ÉQUIPEMENT DÉTRUIT : {0}
KEY_DISABLED_BODYPART_SUFFIX,DISABLED: {0},DÉSACTIVÉE : {0}
KEY_DISABLED_CLEAN,DISABLED,DÉSACTIVÉ
KEY_DISABLE_EFFECTS,DISABLE EFFECTS:,DÉSACTIVER ÉTATS :
KEY_ENABLED_BODYPART_SUFFIX,PART ENABLED: {0},PARTIE ACTIVÉE : {0}
KEY_END_TURN_PROMPT,Your active soldiers are out of Action Points. Do you want to end your turn?,Vos soldats actifs n'ont plus de points d'action. Voulez-vous terminer votre tour ?
KEY_ENEMY_SPOTTED,ENEMY SPOTTED,ENNEMI DÉTECTÉ
KEY_FOOD_CRATE_DESCRIPTION,A resource crate that contains food,Une caisse de ressources qui contient des vivres.
KEY_FOOD_CRATE_NAME,Food Crate,Caisse de vivres
KEY_FREE_AIM_IF_DISABLED,If disabled:,Si mutilé :
KEY_FREE_AIM_TAB_TO_SWITCH,TAB to switch target,Appuyez sur TAB pour changer de cible
