Key,English,French
KEY_CONTROLS_ACTION_DISCRETE_FREEAIM,FREE AIM,VISÉE LIBRE
KEY_CUSTOM_SHOOT,SHOOT,TIRER
KEY_OBJECTIVE_ALLMUSTSURVIVE,ALL OPERATIVES MUST SURVIVE,TOUS LES AGENTS DOIVENT SURVIVRE
KEY_TUT1_AP_DESCRIPTION,"Let's move to attack!

Tiles inside BLUE AREA  allow soldiers to move and shoot in the same turn.

A blue SHOOTING LINE will be drawn from the selected tile if an enemy can be shot from it.

MOVE TO THE HIGHLIGHTED TILE
","Déplaçons-nous pour attaquer !
 
 Sur les cases qui se trouvent dans une ZONE BLEUE, les soldats peuvent se déplacer et tirer dans le même tour.
 
 Une LIGNE DE TIR bleue sera présente sur la case sélectionnée si un ennemi peut être atteint depuis cette case.
 
 DÉPLACEZ-VOUS VERS LA ZONE EN ÉVIDENCE."
KEY_TUT1_AP_NAME,Movement,Déplacement
KEY_TUT1_AP_PART2_DESCRIPTION_C,"Action controls


Select Action: Use <size=60>:RT:</size> to enter the Action Bar and <size=60>:DLEFT:</size> and <size=60>:DRIGHT:</size> to select, and <size=60>:A:</size> to perform action.


Movement: <size=60>:A:</size> then select MOVE to go to the Selection Marker location","Commandes d'action
 
 Sélectionner une action : utilisez <size=60>:RT:</size> pour accéder à la barre d'actions, <size=60>:DLEFT:</size> et <size=60>:DRIGHT:</size> pour sélectionner, puis <size=60>:A:</size> pour effectuer l'action.

 Déplacement : <size=60>:A:</size>, puis sélectionnez SE DÉPLACER pour aller à l'emplacement du marqueur de sélection."
KEY_TUT1_AP_PART2_DESCRIPTION_K,"Action controls

Select Action: :LMB: on the action icon
Perform Action: :LMB: on the action button or icon

Movement: :LMB: then select MOVE to go to the Selection Marker location

Direct Movement: :RMB: to go directly to the Selection Marker location","Commandes d'actions
 
 Sélectionner une action : :LMB: sur l'icône d'action
 Effectuer l'action : :LMB: sur le bouton ou l'icône d'action

 Déplacement : :LMB:, puis sélectionnez SE DÉPLACER pour aller à l'emplacement du marqueur de sélection
 
 Déplacement direct : :RMB: pour vous rendre directement à l'emplacement du marqueur de sélection"
KEY_TUT1_COVER_DESCRIPTION,"Any object in the environment can be used as cover to block the path of projectiles. Soldiers can make use of cover in two ways.
 
 When next to a low obstacle or low wall, soldiers will crouch to reduce exposure.
 
When next to a high obstacle or high wall, soldiers will remain standing and will step to the side to shoot.
 
 NOW MOVE TO THE HIGHLIGHTED TILE","Tout objet de l'environnement est susceptible de fournir une couverture en bloquant la trajectoire d'un projectile. Toutefois, les soldats peuvent utiliser une couverture de deux façons.
 
 Lorsqu'ils se trouvent à proximité d'un petit obstacle ou d'un petit mur, les soldats s'accroupiront pour réduire leur exposition.
 
 Lorsqu'ils se trouvent à proximité d'un grand obstacle ou d'un grand mur, ils resteront debout, mais feront un pas de côté pour tirer.
 
 À PRÉSENT, DÉPLACEZ-VOUS SUR LA CASE EN ÉVIDENCE."
KEY_TUT1_COVER_NAME,Cover and Environment,Couverture et environnement
KEY_TUT1_FREE_AIM_DESCRIPTION,"When shooting, you  can enter Free Aim mode for PRECISE TARGETING.

ENTER FREE AIM MODE
Press the ZOOM IN button or scroll :MW:","Lorsque vous tirez, le mode Visée libre vous permet de CIBLER AVEC PRÉCISION.

 ENTRER EN MODE VISÉE LIBRE
 Appuyez sur le bouton AGRANDIR ou faites défiler :MW:"
