Key,English,French
KEY_TUTORIAL_BASE_DESCRIPTION_C,"Your Base is your stronghold containing ALL FACILITIES, as well as vital resources such as Food, Materials, and Tech.

Phoenix Point is in bad shape. You need to repair your vehicle bay before you can launch your Manticore aircraft - and it will take some time.

START REPAIR OF YOUR VEHICLE BAY
Move the cursor to the REPAIR FACILITY button and press <size=60>:A:</size>

THEN RETURN TO GEOSCAPE WITH :LT: AND ADVANCE TIME WITH <size=60>:X:</size>","Votre base est la forteresse contenant TOUTES LES INSTALLATIONS, ainsi que les ressources vitales comme la nourriture, les matériaux et la technologie.

 Phoenix Point a connu de meilleurs jours. Vous devrez réparer votre garage avant de pouvoir lancer votre vaisseau Manticore, ce qui prendra du temps.
 
 COMMENCEZ LES RÉPARATIONS DE VOTRE GARAGE.
 Placez le curseur sur le bouton RÉPARER L'INSTALLATION et appuyez sur :A:
 
 RETOURNEZ ENSUITE AU GEOSCAPE AVEC :LT: ET ACCÉLÉREZ LE TEMPS AVEC :X:"
KEY_TUTORIAL_BASE_DESCRIPTION_K,"Your Base is your stronghold containing ALL FACILITIES, as well as vital resources such as Food, Materials, and Tech.

Phoenix Point is in bad shape. You need to repair your vehicle bay before you can launch your Manticore aircraft - and it will take some time.

START REPAIR OF YOUR VEHICLE BAY
:LMB: on the REPAIR FACILITY button.

THEN RETURN TO GEOSCAPE AND ADVANCE TIME","Votre base est la forteresse contenant TOUTES LES INSTALLATIONS, ainsi que les ressources vitales comme la nourriture, les matériaux et la technologie.

 Phoenix Point a connu de meilleurs jours. Vous devrez réparer votre garage avant de pouvoir lancer votre vaisseau Manticore, ce qui prendra du temps.
 
 COMMENCEZ LES RÉPARATIONS DE VOTRE GARAGE.
 :LMB: sur le bouton RÉPARER L'INSTALLATION.
 
 RETOURNEZ ENSUITE AU GEOSCAPE ET ACCÉLÉREZ LE TEMPS."
KEY_TUTORIAL_EXPLORATION_DESCRIPTION_C,"Initially, all sites on the Geoscape are unexplored (marked with a question mark).

You need at least one soldier onboard an aircraft in order to explore. Exploration takes time and you may get ambushed, so be on your guard.

EXPLORE THE SITE
Press <size=60>:A:</size> on the site to show the site menu, and select ""EXPLORE""
","Au tout début, tous les sites du Geoscape sont inexplorés (ils sont marqués d'un point d'interrogation).
 
 Il vous faudra au moins un soldat à bord d'un vaisseau pour les explorer. L'exploration prend du temps et vous courez le risque d'être pris en embuscade, alors restez vigilant.

 EXPLORER UN SITE
 Appuyez sur :A: sur le site pour afficher le menu du site, puis sélectionnez « EXPLORER »."
KEY_TUTORIAL_EXPLORATION_DESCRIPTION_K,"Initially, all sites on the Geoscape are unexplored (marked with a question mark).

You need at least one soldier onboard an aircraft in order to explore. Exploration takes time and you may get ambushed, so be on your guard.

EXPLORE THE SITE
:LMB: on the site to show the site menu, and select ""EXPLORE""
","Au tout début, tous les sites du Geoscape sont inexplorés (ils sont marqués d'un point d'interrogation).
 
 Il vous faudra au moins un soldat à bord d'un vaisseau pour les explorer. L'exploration prend du temps et vous courez le risque d'être pris en embuscade, alors restez vigilant.

 EXPLORER UN SITE
 :LMB: sur le site pour afficher le menu de site, puis sélectionnez « EXPLORER »."
KEY_TUTORIAL_GEOSCAPE_DESCRIPTION_C,"The GEOSCAPE shows the world and all locations and sites of interest.

In the beginning, all you know about is your base, Phoenix Point.

GEOSCAPE CONTROLS
Move globe: <size=60>:LTS:</size>
Zoom in/out: <size=60>:RTSUP:</size> and <size=60>:RTSDOWN:</size>
Use directional buttons to navigate menus and :B: to return

GO TO THE ""BASES"" MENU WITH :RT:","Le GEOSCAPE montre le monde et tous les lieux et sites d'intérêt.

 Au début, vous ne connaissez que votre base, Phoenix Point.
 
 COMMANDES DU GEOSCAPE
 Déplacer le globe : <size=60>:LTS:</size>
 Agrandir/réduire : <size=60>:RTSUP:</size> et <size=60>:RTSDOWN:</size>
 Utilisez les touches directionnelles pour parcourir les menus et :B: pour revenir
 
 ACCÉDEZ AU MENU « BASES » AVEC :RT:."
KEY_TUTORIAL_GEOSCAPE_DESCRIPTION_K,"The GEOSCAPE shows the world and all locations and sites of interest.

In the beginning, all you know about is your base, Phoenix Point.

GEOSCAPE CONTROLS
Move globe: Hold down :LMB: and drag
Zoom in/out: :MW:

SELECT THE ""BASES"" BUTTON with :LMB:","Le GEOSCAPE permet d'afficher le monde ainsi que les lieux et les sites d'intérêts.
 
 Au début du jeu, vous ne connaîtrez que votre base, Phoenix Point.
 
 COMMANDES DU GEOSCAPE
 Déplacer le globe : maintenez :LMB: et faites glisser
 Zoom av./arr. : :MW:
 
 SÉLECTIONNEZ LE BOUTON « BASES » avec :LMB:"
KEY_TUTORIAL_MANTICORE_DESCRIPTION_C,"The Manticore is YOUR AIRCRAFT for transporting soldiers and exploring the world. The aircraft’s crew is shown in the Aircraft bar in the bottom of the screen, using their soldier class icons.

SEND YOUR MANTICORE TO THE UNEXPLORED SITE
Move the cursor to the location with <size=60>:LTS:</size> and press :A:, then select ""MOVE"" with <size=60>:A:</size>","La Manticore est le VAISSEAU vous permettant de transporter vos troupes et d'explorer le monde. Son équipage est affiché dans la jauge du vaisseau située en bas de l'écran, avec leurs icônes de classes de soldats.

 ENVOYEZ VOTRE MANTICORE EN TERRITOIRE INEXPLORÉ.
 Déplacez le curseur sur le lieu avec :LTS: et appuyez sur :A:, puis sélectionnez « SE DÉPLACER » avec :A:"
KEY_TUTORIAL_MANTICORE_DESCRIPTION_K,"The Manticore is YOUR AIRCRAFT for transporting soldiers and exploring the world. The aircraft’s crew is shown in the Aircraft bar in the bottom of the screen, using their soldier class icons.

SEND YOUR MANTICORE TO THE UNEXPLORED SITE
:LMB: on the location, then select ""MOVE"" from the action menu.","La Manticore est le VAISSEAU vous permettant de transporter vos troupes et d'explorer le monde. Son équipage est affiché dans la jauge du vaisseau située en bas de l'écran, avec leurs icônes de classes de soldats.

 ENVOYEZ VOTRE MANTICORE EN TERRITOIRE INEXPLORÉ.
 :LMB: à l'endroit cible et sélectionnez « SE DÉPLACER » à partir du menu des actions."
KEY_TUTORIAL_TACTICAL1_AP_PART2_DESCRIPTION_C,"Action controls

Select Action: Use <size=60>:RT:</size> to enter the Action Bar and <size=60>:DLEFT:</size> and <size=60>:DRIGHT:</size> to select, and <size=60>:A:</size> to perform action.

Movement: <size=60>:A:</size> then select MOVE to go to the Selection Marker location","Commandes d'action
 
 Sélectionner une action : utilisez :RT: pour accéder à la barre d'actions, :DLEFT: et :DRIGHT: pour sélectionner, puis :A: pour effectuer une action.
 
 Déplacement : :A:, puis sélectionnez SE DÉPLACER pour aller à l'emplacement du marqueur de sélection"
KEY_TUTORIAL_TACTICAL1_AP_PART2_DESCRIPTION_K,"Action controls

Select Action: :LMB: on the action icon
Perform Action: :LMB: on the action button or icon

Movement: :LMB: then select MOVE to go to the Selection Marker location

Direct Movement: :RMB: to go directly to the Selection Marker location","Commandes d'actions
 
 Sélectionner une action : :LMB: sur l'icône de l'action
 Effectuer l'action : :LMB: sur le bouton d'action ou l'icône

 Déplacement : :LMB:, puis sélectionnez SE DÉPLACER pour aller à l'emplacement du marqueur de sélection
 
 Déplacement direct : :RMB: pour vous rendre directement à l'emplacement du marqueur de sélection"
